review_id,product_id,rating,review_text,sentiment,return_reason
REV-7001,PRD-7009,2,Review content for product PRD-7009. Overall rating 2/5.,Negative,Delayed Delivery
REV-7002,PRD-5333,5,Review content for product PRD-5333. Overall rating 5/5.,Positive,None
REV-7003,PRD-5141,5,Review content for product PRD-5141. Overall rating 5/5.,Positive,None
REV-7004,PRD-7383,1,Review content for product PRD-7383. Overall rating 1/5.,Negative,Delayed Delivery
REV-7005,PRD-6725,5,Review content for product PRD-6725. Overall rating 5/5.,Positive,None
REV-7006,PRD-6852,2,Review content for product PRD-6852. Overall rating 2/5.,Negative,Color Mismatch
REV-7007,PRD-6478,5,Review content for product PRD-6478. Overall rating 5/5.,Positive,None
REV-7008,PRD-7232,4,Review content for product PRD-7232. Overall rating 4/5.,Positive,None
REV-7009,PRD-5278,3,Review content for product PRD-5278. Overall rating 3/5.,Neutral,Fit Size Issue
REV-7010,PRD-5216,5,Review content for product PRD-5216. Overall rating 5/5.,Positive,None
REV-7011,PRD-5796,5,Review content for product PRD-5796. Overall rating 5/5.,Positive,None
REV-7012,PRD-6908,4,Review content for product PRD-6908. Overall rating 4/5.,Positive,None
REV-7013,PRD-7106,5,Review content for product PRD-7106. Overall rating 5/5.,Positive,None
REV-7014,PRD-5438,5,Review content for product PRD-5438. Overall rating 5/5.,Positive,None
REV-7015,PRD-5584,5,Review content for product PRD-5584. Overall rating 5/5.,Positive,None
REV-7016,PRD-7200,2,Review content for product PRD-7200. Overall rating 2/5.,Negative,Delayed Delivery
REV-7017,PRD-6751,2,Review content for product PRD-6751. Overall rating 2/5.,Negative,Delayed Delivery
REV-7018,PRD-6695,5,Review content for product PRD-6695. Overall rating 5/5.,Positive,None
REV-7019,PRD-7285,4,Review content for product PRD-7285. Overall rating 4/5.,Positive,None
REV-7020,PRD-6534,2,Review content for product PRD-6534. Overall rating 2/5.,Negative,Fabric Defect
REV-7021,PRD-6321,5,Review content for product PRD-6321. Overall rating 5/5.,Positive,None
REV-7022,PRD-7347,5,Review content for product PRD-7347. Overall rating 5/5.,Positive,None
REV-7023,PRD-6613,1,Review content for product PRD-6613. Overall rating 1/5.,Negative,None
REV-7024,PRD-6228,5,Review content for product PRD-6228. Overall rating 5/5.,Positive,None
REV-7025,PRD-5158,4,Review content for product PRD-5158. Overall rating 4/5.,Positive,None
REV-7026,PRD-7336,3,Review content for product PRD-7336. Overall rating 3/5.,Neutral,Delayed Delivery
REV-7027,PRD-6296,4,Review content for product PRD-6296. Overall rating 4/5.,Positive,None
REV-7028,PRD-5285,5,Review content for product PRD-5285. Overall rating 5/5.,Positive,None
REV-7029,PRD-5762,1,Review content for product PRD-5762. Overall rating 1/5.,Negative,Color Mismatch
REV-7030,PRD-5525,5,Review content for product PRD-5525. Overall rating 5/5.,Positive,None
REV-7031,PRD-6295,5,Review content for product PRD-6295. Overall rating 5/5.,Positive,None
REV-7032,PRD-6533,5,Review content for product PRD-6533. Overall rating 5/5.,Positive,None
REV-7033,PRD-5194,2,Review content for product PRD-5194. Overall rating 2/5.,Negative,Delayed Delivery
REV-7034,PRD-7093,5,Review content for product PRD-7093. Overall rating 5/5.,Positive,None
REV-7035,PRD-6577,3,Review content for product PRD-6577. Overall rating 3/5.,Neutral,Delayed Delivery
REV-7036,PRD-7194,4,Review content for product PRD-7194. Overall rating 4/5.,Positive,None
REV-7037,PRD-5765,5,Review content for product PRD-5765. Overall rating 5/5.,Positive,None
REV-7038,PRD-6263,4,Review content for product PRD-6263. Overall rating 4/5.,Positive,None
