inventory_log_id,store_id,product_id,warehouse_id,offline_stock_qty,online_stock_qty,reserved_qty,shrinkage_rate_pct,last_sync_timestamp,sync_status
INV-80001,STR-502,PRD-5001,WH-104,98,370,14,1.74,2026-07-30 20:19:20,Synced
INV-80002,STR-503,PRD-5002,WH-101,125,117,17,1.35,2026-07-30 20:19:20,Synced
INV-80003,STR-504,PRD-5003,WH-102,36,306,14,1.81,2026-07-30 20:19:20,Synced
INV-80004,STR-505,PRD-5004,WH-101,115,250,17,2.34,2026-07-30 20:19:20,Discrepancy Warning
INV-80005,STR-501,PRD-5005,WH-101,33,277,2,4.13,2026-07-30 20:19:20,Discrepancy Warning
INV-80006,STR-502,PRD-5006,WH-104,140,285,18,1.8,2026-07-30 20:19:20,Synced
INV-80007,STR-503,PRD-5007,WH-102,15,392,0,3.45,2026-07-30 20:19:20,Discrepancy Warning
INV-80008,STR-504,PRD-5008,WH-101,82,358,12,4.26,2026-07-30 20:19:20,Discrepancy Warning
INV-80009,STR-505,PRD-5009,WH-104,100,182,17,2.8,2026-07-30 20:19:20,Discrepancy Warning
INV-80010,STR-501,PRD-5010,WH-101,123,84,9,1.87,2026-07-30 20:19:20,Synced
INV-80011,STR-502,PRD-5011,WH-102,68,277,18,4.12,2026-07-30 20:19:20,Discrepancy Warning
INV-80012,STR-503,PRD-5012,WH-104,68,128,7,1.54,2026-07-30 20:19:20,Synced
INV-80013,STR-504,PRD-5013,WH-103,59,296,11,3.96,2026-07-30 20:19:20,Discrepancy Warning
INV-80014,STR-505,PRD-5014,WH-102,148,329,7,3.52,2026-07-30 20:19:20,Discrepancy Warning
INV-80015,STR-501,PRD-5015,WH-103,83,295,4,3.16,2026-07-30 20:19:20,Discrepancy Warning
INV-80016,STR-502,PRD-5016,WH-103,116,195,13,0.9,2026-07-30 20:19:20,Synced
INV-80017,STR-503,PRD-5017,WH-103,59,150,1,0.4,2026-07-30 20:19:20,Synced
INV-80018,STR-504,PRD-5018,WH-101,104,266,4,3.65,2026-07-30 20:19:20,Discrepancy Warning
INV-80019,STR-505,PRD-5019,WH-101,88,317,2,0.97,2026-07-30 20:19:20,Synced
INV-80020,STR-501,PRD-5020,WH-101,17,251,1,1.95,2026-07-30 20:19:20,Synced
INV-80021,STR-502,PRD-5021,WH-104,88,382,5,1.39,2026-07-30 20:19:20,Synced
INV-80022,STR-503,PRD-5022,WH-103,12,10,15,3.14,2026-07-30 20:19:20,Discrepancy Warning
INV-80023,STR-504,PRD-5023,WH-104,150,329,3,0.87,2026-07-30 20:19:20,Synced
INV-80024,STR-505,PRD-5024,WH-103,56,156,5,3.76,2026-07-30 20:19:20,Discrepancy Warning
INV-80025,STR-501,PRD-5025,WH-103,24,310,19,3.58,2026-07-30 20:19:20,Discrepancy Warning
INV-80026,STR-502,PRD-5026,WH-102,77,161,12,0.81,2026-07-30 20:19:20,Synced
INV-80027,STR-503,PRD-5027,WH-102,132,256,20,3.1,2026-07-30 20:19:20,Discrepancy Warning
INV-80028,STR-504,PRD-5028,WH-103,68,188,0,3.44,2026-07-30 20:19:20,Discrepancy Warning
INV-80029,STR-505,PRD-5029,WH-101,49,227,3,2.9,2026-07-30 20:19:20,Discrepancy Warning
INV-80030,STR-501,PRD-5030,WH-101,8,291,13,2.44,2026-07-30 20:19:20,Discrepancy Warning
INV-80031,STR-502,PRD-5031,WH-101,111,244,18,1.13,2026-07-30 20:19:20,Synced
INV-80032,STR-503,PRD-5032,WH-102,140,311,2,3.11,2026-07-30 20:19:20,Discrepancy Warning
INV-80033,STR-504,PRD-5033,WH-104,148,369,6,3.73,2026-07-30 20:19:20,Discrepancy Warning
INV-80034,STR-505,PRD-5034,WH-101,102,360,0,1.14,2026-07-30 20:19:20,Synced
INV-80035,STR-501,PRD-5035,WH-103,147,124,20,1.98,2026-07-30 20:19:20,Synced
INV-80036,STR-502,PRD-5036,WH-104,143,190,12,0.86,2026-07-30 20:19:20,Synced
INV-80037,STR-503,PRD-5037,WH-101,133,357,5,0.34,2026-07-30 20:19:20,Synced
INV-80038,STR-504,PRD-5038,WH-103,94,242,18,1.43,2026-07-30 20:19:20,Synced
INV-80039,STR-505,PRD-5039,WH-104,134,302,18,3.14,2026-07-30 20:19:20,Discrepancy Warning
INV-80040,STR-501,PRD-5040,WH-101,70,192,13,2.09,2026-07-30 20:19:20,Discrepancy Warning
INV-80041,STR-502,PRD-5041,WH-102,41,164,19,2.34,2026-07-30 20:19:20,Discrepancy Warning
INV-80042,STR-503,PRD-5042,WH-103,51,160,16,0.23,2026-07-30 20:19:20,Synced
INV-80043,STR-504,PRD-5043,WH-101,23,184,3,3.66,2026-07-30 20:19:20,Discrepancy Warning
INV-80044,STR-505,PRD-5044,WH-101,49,346,6,1.92,2026-07-30 20:19:20,Synced
INV-80045,STR-501,PRD-5045,WH-101,85,145,1,0.43,2026-07-30 20:19:20,Synced
INV-80046,STR-502,PRD-5046,WH-104,18,62,6,3.1,2026-07-30 20:19:20,Discrepancy Warning
INV-80047,STR-503,PRD-5047,WH-102,81,264,18,3.76,2026-07-30 20:19:20,Discrepancy Warning
INV-80048,STR-504,PRD-5048,WH-104,100,118,17,1.13,2026-07-30 20:19:20,Synced
INV-80049,STR-505,PRD-5049,WH-103,142,89,18,2.29,2026-07-30 20:19:20,Discrepancy Warning
INV-80050,STR-501,PRD-5050,WH-104,7,395,4,0.96,2026-07-30 20:19:20,Synced
INV-80051,STR-502,PRD-5051,WH-103,11,199,16,3.83,2026-07-30 20:19:20,Discrepancy Warning
INV-80052,STR-503,PRD-5052,WH-102,35,176,5,3.77,2026-07-30 20:19:20,Discrepancy Warning
INV-80053,STR-504,PRD-5053,WH-103,87,165,11,1.95,2026-07-30 20:19:20,Synced
INV-80054,STR-505,PRD-5054,WH-104,100,57,4,0.24,2026-07-30 20:19:20,Synced
INV-80055,STR-501,PRD-5055,WH-104,65,394,6,3.11,2026-07-30 20:19:20,Discrepancy Warning
INV-80056,STR-502,PRD-5056,WH-102,97,323,16,1.89,2026-07-30 20:19:20,Synced
INV-80057,STR-503,PRD-5057,WH-103,89,271,20,3.89,2026-07-30 20:19:20,Discrepancy Warning
INV-80058,STR-504,PRD-5058,WH-101,40,221,18,0.71,2026-07-30 20:19:20,Synced
INV-80059,STR-505,PRD-5059,WH-103,23,15,15,1.43,2026-07-30 20:19:20,Synced
INV-80060,STR-501,PRD-5060,WH-101,14,185,2,3.35,2026-07-30 20:19:20,Discrepancy Warning
INV-80061,STR-502,PRD-5061,WH-101,13,339,9,2.37,2026-07-30 20:19:20,Discrepancy Warning
INV-80062,STR-503,PRD-5062,WH-102,146,177,15,0.31,2026-07-30 20:19:20,Synced
INV-80063,STR-504,PRD-5063,WH-103,47,42,14,0.33,2026-07-30 20:19:20,Synced
INV-80064,STR-505,PRD-5064,WH-103,34,271,8,1.77,2026-07-30 20:19:20,Synced
