log_id,month,channel,ad_spend_inr,conversions,cac_inr,roas
MKT-101,2025-01,Meta Ads (FB/IG),98816,1093,90.41,5.04
MKT-102,2025-01,Google Search,85444,894,95.57,3.19
MKT-103,2025-01,Amazon Sponsored Ads,145286,173,839.8,4.12
MKT-104,2025-01,Influencer Collaborations,122749,459,267.43,2.12
MKT-105,2025-02,Meta Ads (FB/IG),119740,390,307.03,4.95
MKT-106,2025-02,Google Search,248168,1088,228.1,5.3
MKT-107,2025-02,Amazon Sponsored Ads,194208,760,255.54,2.73
MKT-108,2025-02,Influencer Collaborations,138003,972,141.98,3.3
MKT-109,2025-03,Meta Ads (FB/IG),74758,1153,64.84,4.03
MKT-110,2025-03,Google Search,130055,963,135.05,4.44
MKT-111,2025-03,Amazon Sponsored Ads,118157,844,140.0,3.42
MKT-112,2025-03,Influencer Collaborations,156803,944,166.1,4.18
MKT-113,2025-04,Meta Ads (FB/IG),83105,296,280.76,2.83
MKT-114,2025-04,Google Search,179641,813,220.96,4.37
MKT-115,2025-04,Amazon Sponsored Ads,91153,179,509.23,3.12
MKT-116,2025-04,Influencer Collaborations,103707,850,122.01,5.74
MKT-117,2025-05,Meta Ads (FB/IG),53827,981,54.87,2.32
MKT-118,2025-05,Google Search,96305,491,196.14,5.66
MKT-119,2025-05,Amazon Sponsored Ads,138947,361,384.89,3.84
MKT-120,2025-05,Influencer Collaborations,249277,855,291.55,5.67
MKT-121,2025-06,Meta Ads (FB/IG),91380,547,167.06,5.52
MKT-122,2025-06,Google Search,132339,646,204.86,2.19
MKT-123,2025-06,Amazon Sponsored Ads,89645,348,257.6,5.6
MKT-124,2025-06,Influencer Collaborations,47731,1035,46.12,4.45
MKT-125,2025-07,Meta Ads (FB/IG),243475,224,1086.94,2.24
MKT-126,2025-07,Google Search,248762,153,1625.9,4.78
MKT-127,2025-07,Amazon Sponsored Ads,172330,386,446.45,3.37
MKT-128,2025-07,Influencer Collaborations,96830,884,109.54,4.35
MKT-129,2025-08,Meta Ads (FB/IG),166017,1055,157.36,3.83
MKT-130,2025-08,Google Search,246840,397,621.76,2.25
MKT-131,2025-08,Amazon Sponsored Ads,49999,784,63.77,2.75
MKT-132,2025-08,Influencer Collaborations,145411,1101,132.07,3.59
MKT-133,2025-09,Meta Ads (FB/IG),243605,1085,224.52,2.36
MKT-134,2025-09,Google Search,100226,765,131.01,5.15
MKT-135,2025-09,Amazon Sponsored Ads,45734,194,235.74,2.74
MKT-136,2025-09,Influencer Collaborations,214885,532,403.92,3.01
MKT-137,2025-10,Meta Ads (FB/IG),124483,420,296.39,3.26
MKT-138,2025-10,Google Search,241471,606,398.47,2.61
MKT-139,2025-10,Amazon Sponsored Ads,112474,708,158.86,4.12
MKT-140,2025-10,Influencer Collaborations,105444,1084,97.27,3.67
MKT-141,2025-11,Meta Ads (FB/IG),61703,1003,61.52,5.72
MKT-142,2025-11,Google Search,239911,761,315.26,3.45
MKT-143,2025-11,Amazon Sponsored Ads,52189,319,163.6,3.26
MKT-144,2025-11,Influencer Collaborations,180314,511,352.86,5.19
MKT-145,2025-12,Meta Ads (FB/IG),241924,594,407.28,2.17
MKT-146,2025-12,Google Search,219213,1166,188.0,2.57
MKT-147,2025-12,Amazon Sponsored Ads,125665,970,129.55,2.52
MKT-148,2025-12,Influencer Collaborations,93923,452,207.79,3.11
