vendor_id,name,category,location,rating,lead_time_days,on_time_rate_pct,defect_rate_pct,min_order_qty,escrow_verified,contact_email
VND-1001,Mysuru Jewelry Enterprise 1,Jewelry & Fashion Accessories,Mysuru KA,4.5,4,79.7,0.5,50,TRUE,b2b_sales_1@mysuruenterprise.in
VND-1002,Jodhpur Brass Enterprise 2,Brass & Artisan Metalcraft,Jodhpur RJ,4.0,8,81.8,3.3,50,TRUE,b2b_sales_2@jodhpurenterprise.in
VND-1003,Kochi Organic Enterprise 3,Organic Home & Kitchenware,Kochi KL,4.6,10,89.9,1.0,200,TRUE,b2b_sales_3@kochienterprise.in
VND-1004,Gwalior Organic Enterprise 4,Organic Home & Kitchenware,Gwalior MP,4.7,6,80.4,1.8,25,TRUE,b2b_sales_4@gwaliorenterprise.in
VND-1005,Salem Spices Enterprise 5,Spices & Gourmet Food Crafts,Salem TN,4.9,6,81.6,1.2,200,TRUE,b2b_sales_5@salementerprise.in
VND-1006,Guwahati Footwear Enterprise 6,Footwear & Athletic Shoes,Guwahati AS,4.6,14,78.5,0.9,500,TRUE,b2b_sales_6@guwahatienterprise.in
VND-1007,Madurai Stationery Enterprise 7,Stationery & Corporate Gifting,Madurai TN,5.0,4,84.8,1.3,25,FALSE,b2b_sales_7@maduraienterprise.in
VND-1008,Delhi Brass Enterprise 8,Brass & Artisan Metalcraft,Delhi NCR,4.1,9,90.4,4.0,200,TRUE,b2b_sales_8@delhienterprise.in
VND-1009,Jalandhar Pet Enterprise 9,Pet Care & Organic Treats,Jalandhar PB,4.9,13,81.2,2.9,500,TRUE,b2b_sales_9@jalandharenterprise.in
VND-1010,Nagpur Organic Enterprise 10,Organic Home & Kitchenware,Nagpur MH,4.2,11,77.7,2.3,50,TRUE,b2b_sales_10@nagpurenterprise.in
VND-1011,Bengaluru Fitness Enterprise 11,Fitness Gear & Yoga Accessories,Bengaluru KA,4.5,5,96.3,1.6,100,TRUE,b2b_sales_11@bengaluruenterprise.in
VND-1012,Amritsar Leather Enterprise 12,Leather Footwear & Travel Goods,Amritsar PB,4.9,10,98.4,4.6,25,TRUE,b2b_sales_12@amritsarenterprise.in
VND-1013,Rajkot Brass Enterprise 13,Brass & Artisan Metalcraft,Rajkot GJ,4.0,6,96.5,4.2,500,TRUE,b2b_sales_13@rajkotenterprise.in
VND-1014,Kanpur Knitwear Enterprise 14,Knitwear & Everyday Apparel,Kanpur UP,5.0,5,92.9,4.1,200,TRUE,b2b_sales_14@kanpurenterprise.in
VND-1015,Ludhiana Automotive Enterprise 15,Automotive Accessories,Ludhiana PB,4.1,11,81.5,4.4,50,TRUE,b2b_sales_15@ludhianaenterprise.in
VND-1016,Salem Handloom Enterprise 16,Handloom Bed Linen & Curtains,Salem TN,4.2,4,99.4,3.3,50,FALSE,b2b_sales_16@salementerprise.in
VND-1017,Kochi Consumer Enterprise 17,Consumer Electronics Accessories,Kochi KL,3.8,3,83.3,3.0,25,TRUE,b2b_sales_17@kochienterprise.in
VND-1018,Chennai Pure Enterprise 18,Pure Silk & Traditional Sarees,Chennai TN,4.0,7,76.7,0.4,200,TRUE,b2b_sales_18@chennaienterprise.in
VND-1019,Amritsar Eco-Friendly Enterprise 19,Eco-Friendly Packaging,Amritsar PB,4.4,6,78.2,4.7,200,FALSE,b2b_sales_19@amritsarenterprise.in
VND-1020,Ahmedabad Stationery Enterprise 20,Stationery & Corporate Gifting,Ahmedabad GJ,4.0,10,77.3,3.4,25,FALSE,b2b_sales_20@ahmedabadenterprise.in
VND-1021,Moradabad Brass Enterprise 21,Brass & Artisan Metalcraft,Moradabad UP,4.8,6,84.9,1.8,50,TRUE,b2b_sales_21@moradabadenterprise.in
