health_record_id,store_id,month_period,solvency_ratio,risk_score,growth_index
BH-501,STR-2022,2025-M09,2.31,28,143.1
BH-502,STR-2020,2025-M05,3.19,25,118.6
BH-503,STR-2044,2025-M09,2.36,38,109.5
BH-504,STR-2049,2025-M03,2.32,30,140.7
BH-505,STR-2033,2025-M08,2.34,21,107.6
BH-506,STR-2028,2025-M11,1.9,38,118.7
BH-507,STR-2044,2025-M09,3.09,22,136.2
BH-508,STR-2049,2025-M04,1.69,42,117.2
BH-509,STR-2050,2025-M09,2.29,29,142.1
BH-510,STR-2014,2025-M10,2.75,30,111.3
BH-511,STR-2050,2025-M07,3.01,20,129.4
BH-512,STR-2011,2025-M06,3.4,40,131.1
BH-513,STR-2027,2025-M12,1.82,26,123.9
BH-514,STR-2020,2025-M06,1.53,31,134.1
BH-515,STR-2048,2025-M06,2.23,37,127.5
BH-516,STR-2049,2025-M07,1.21,35,107.2
BH-517,STR-2027,2025-M06,2.69,18,144.0
BH-518,STR-2050,2025-M05,1.24,22,113.3
BH-519,STR-2046,2025-M05,1.88,33,105.9
BH-520,STR-2028,2025-M07,1.95,45,134.6
BH-521,STR-2014,2025-M10,2.36,27,109.3
BH-522,STR-2016,2025-M03,1.95,40,142.7
BH-523,STR-2038,2025-M08,3.39,12,136.2
BH-524,STR-2025,2025-M12,3.41,41,115.0
BH-525,STR-2039,2025-M10,2.06,16,107.2
BH-526,STR-2022,2025-M05,2.44,38,141.9
BH-527,STR-2008,2025-M08,1.51,14,118.0
BH-528,STR-2050,2025-M12,2.15,19,140.0
BH-529,STR-2038,2025-M05,2.52,45,108.5
BH-530,STR-2016,2025-M06,2.52,26,127.3
BH-531,STR-2019,2025-M12,1.25,14,139.8
BH-532,STR-2045,2025-M12,2.9,33,141.2
BH-533,STR-2029,2025-M12,3.23,21,117.9
BH-534,STR-2015,2025-M08,2.03,22,132.1
BH-535,STR-2046,2025-M05,1.79,11,110.6
BH-536,STR-2042,2025-M07,2.18,41,136.9
BH-537,STR-2034,2025-M01,3.3,42,119.9
BH-538,STR-2037,2025-M07,3.49,42,139.9
BH-539,STR-2021,2025-M09,2.33,31,130.4
BH-540,STR-2048,2025-M02,2.5,45,136.2
BH-541,STR-2035,2025-M03,3.04,15,128.0
BH-542,STR-2030,2025-M10,2.7,22,135.1
BH-543,STR-2050,2025-M11,2.19,27,123.6
BH-544,STR-2048,2025-M03,2.7,14,112.3
BH-545,STR-2037,2025-M06,2.24,37,140.6
BH-546,STR-2026,2025-M10,1.88,34,105.8
BH-547,STR-2015,2025-M06,2.18,26,139.2
BH-548,STR-2038,2025-M11,2.97,44,123.3
BH-549,STR-2043,2025-M04,2.97,32,140.7
BH-550,STR-2046,2025-M10,1.55,19,113.2
BH-551,STR-2012,2025-M02,1.26,12,136.2
BH-552,STR-2035,2025-M06,3.4,30,139.8
BH-553,STR-2015,2025-M11,1.68,29,111.5
BH-554,STR-2018,2025-M04,3.35,23,135.9
BH-555,STR-2002,2025-M03,3.22,38,109.9
BH-556,STR-2025,2025-M01,2.22,23,120.2
BH-557,STR-2029,2025-M08,2.12,23,135.8
BH-558,STR-2038,2025-M02,1.41,21,125.3
BH-559,STR-2038,2025-M12,2.39,20,135.3
BH-560,STR-2008,2025-M08,2.9,32,135.0
BH-561,STR-2021,2025-M07,1.64,15,137.0
BH-562,STR-2024,2025-M08,1.79,17,142.8
BH-563,STR-2002,2025-M01,2.07,36,121.0
BH-564,STR-2007,2025-M06,2.03,29,138.5
BH-565,STR-2028,2025-M11,1.89,15,131.0
BH-566,STR-2025,2025-M08,1.24,27,134.2
BH-567,STR-2021,2025-M01,1.52,25,112.1
BH-568,STR-2001,2025-M03,2.39,18,132.8
BH-569,STR-2049,2025-M01,1.34,23,139.7
BH-570,STR-2043,2025-M05,2.05,36,137.9
BH-571,STR-2027,2025-M03,1.6,43,143.6
BH-572,STR-2048,2025-M11,1.62,17,136.5
BH-573,STR-2002,2025-M08,1.67,35,130.0
BH-574,STR-2017,2025-M10,1.94,11,118.3
BH-575,STR-2031,2025-M01,2.89,19,141.5
BH-576,STR-2003,2025-M09,2.07,43,111.8
BH-577,STR-2007,2025-M01,2.0,24,108.7
BH-578,STR-2005,2025-M02,3.43,39,144.3
BH-579,STR-2035,2025-M08,1.51,10,117.5
BH-580,STR-2031,2025-M05,1.49,44,119.6
BH-581,STR-2040,2025-M11,2.85,40,124.7
BH-582,STR-2037,2025-M04,1.49,42,110.2
BH-583,STR-2010,2025-M04,2.72,16,133.7
BH-584,STR-2019,2025-M10,1.44,24,115.0
BH-585,STR-2047,2025-M11,1.89,39,131.7
BH-586,STR-2034,2025-M09,2.53,27,135.4
BH-587,STR-2009,2025-M06,2.17,19,128.2
BH-588,STR-2003,2025-M12,3.28,34,130.3
BH-589,STR-2013,2025-M03,1.23,12,138.4
BH-590,STR-2016,2025-M03,2.11,10,127.9
BH-591,STR-2031,2025-M06,1.63,35,123.1
BH-592,STR-2014,2025-M08,2.63,44,122.6
BH-593,STR-2048,2025-M05,2.71,42,142.0
BH-594,STR-2022,2025-M03,1.79,41,135.9
BH-595,STR-2030,2025-M11,1.42,31,135.5
BH-596,STR-2017,2025-M02,3.0,37,130.7
BH-597,STR-2035,2025-M03,1.42,39,138.2
BH-598,STR-2008,2025-M09,2.84,18,139.9
BH-599,STR-2020,2025-M08,2.2,15,143.7
BH-600,STR-2033,2025-M03,2.11,42,112.8
