customer_id,customer_name,city,segment,lifetime_value_inr,total_orders,registration_date
CUST-4001,Customer_1,Pune,New Registrant,48301.57,7,2025-01-24
CUST-4002,Customer_2,Bengaluru,At Risk,19705.03,27,2025-02-24
CUST-4003,Customer_3,Surat,New Registrant,26500.38,8,2025-07-21
CUST-4004,Customer_4,Ahmedabad,At Risk,103507.88,13,2026-01-02
CUST-4005,Customer_5,Chennai,High Value Loyal,95250.79,3,2025-11-21
CUST-4006,Customer_6,Jaipur,High Value Loyal,97087.78,29,2025-08-23
CUST-4007,Customer_7,Jaipur,New Registrant,18992.91,32,2025-01-03
CUST-4008,Customer_8,Pune,High Value Loyal,70270.23,28,2025-10-27
CUST-4009,Customer_9,Kolkata,New Registrant,98182.48,12,2025-12-21
CUST-4010,Customer_10,Jaipur,Frequent Buyer,91985.6,9,2025-02-23
CUST-4011,Customer_11,Hyderabad,New Registrant,76754.69,21,2025-09-16
CUST-4012,Customer_12,Hyderabad,At Risk,122488.84,45,2026-01-26
CUST-4013,Customer_13,Ahmedabad,Price Sensitive,51239.07,22,2025-05-31
CUST-4014,Customer_14,Kolkata,Frequent Buyer,19427.05,39,2025-12-25
CUST-4015,Customer_15,Pune,Price Sensitive,105776.62,36,2025-06-10
CUST-4016,Customer_16,Pune,Frequent Buyer,27108.91,40,2026-01-01
CUST-4017,Customer_17,Surat,Price Sensitive,115345.99,9,2025-12-30
CUST-4018,Customer_18,Bengaluru,New Registrant,68955.21,41,2025-06-15
CUST-4019,Customer_19,Delhi,Price Sensitive,71379.33,38,2025-10-20
CUST-4020,Customer_20,Hyderabad,New Registrant,37526.18,28,2025-01-07
CUST-4021,Customer_21,Pune,High Value Loyal,5595.84,10,2025-01-28
CUST-4022,Customer_22,Mumbai,Frequent Buyer,35204.84,11,2025-05-27
CUST-4023,Customer_23,Surat,Frequent Buyer,105324.27,45,2025-06-01
CUST-4024,Customer_24,Ahmedabad,New Registrant,6457.53,29,2025-02-22
CUST-4025,Customer_25,Jaipur,New Registrant,108443.08,42,2025-10-15
CUST-4026,Customer_26,Hyderabad,Frequent Buyer,65087.98,45,2025-05-28
CUST-4027,Customer_27,Mumbai,At Risk,49975.44,44,2025-06-10
CUST-4028,Customer_28,Pune,High Value Loyal,4088.24,17,2025-04-14
CUST-4029,Customer_29,Jaipur,At Risk,104172.98,41,2025-12-27
CUST-4030,Customer_30,Chennai,New Registrant,69460.35,39,2025-04-11
CUST-4031,Customer_31,Ahmedabad,Price Sensitive,57479.83,44,2025-02-08
CUST-4032,Customer_32,Bengaluru,Frequent Buyer,92547.24,8,2025-07-13
CUST-4033,Customer_33,Mumbai,At Risk,36691.25,17,2025-03-08
CUST-4034,Customer_34,Bengaluru,New Registrant,106136.74,1,2025-06-19
CUST-4035,Customer_35,Kolkata,Frequent Buyer,7392.72,21,2025-11-02
CUST-4036,Customer_36,Mumbai,New Registrant,105784.65,20,2025-09-09
CUST-4037,Customer_37,Jaipur,New Registrant,46365.48,21,2025-09-27
CUST-4038,Customer_38,Ahmedabad,Frequent Buyer,66274.27,33,2025-03-23
CUST-4039,Customer_39,Hyderabad,New Registrant,68286.9,6,2025-06-28
CUST-4040,Customer_40,Ahmedabad,Frequent Buyer,83758.47,22,2025-07-04
CUST-4041,Customer_41,Surat,Frequent Buyer,118912.76,40,2025-09-29
CUST-4042,Customer_42,Kolkata,New Registrant,103401.83,42,2025-01-05
CUST-4043,Customer_43,Delhi,Price Sensitive,57094.24,42,2025-11-11
CUST-4044,Customer_44,Jaipur,Frequent Buyer,119964.86,44,2025-06-14
CUST-4045,Customer_45,Hyderabad,High Value Loyal,49769.8,35,2026-01-06
CUST-4046,Customer_46,Surat,High Value Loyal,114138.65,24,2025-09-21
CUST-4047,Customer_47,Pune,At Risk,62133.58,19,2025-11-30
CUST-4048,Customer_48,Ahmedabad,Price Sensitive,65452.1,7,2025-03-27
CUST-4049,Customer_49,Pune,New Registrant,3398.0,5,2025-04-18
CUST-4050,Customer_50,Ahmedabad,At Risk,104868.97,14,2025-10-03
CUST-4051,Customer_51,Hyderabad,High Value Loyal,93994.13,10,2025-01-13
CUST-4052,Customer_52,Kolkata,Price Sensitive,7141.07,5,2025-01-28
CUST-4053,Customer_53,Bengaluru,Price Sensitive,70865.32,37,2025-04-27
CUST-4054,Customer_54,Surat,At Risk,50033.99,41,2025-07-27
CUST-4055,Customer_55,Hyderabad,Price Sensitive,4569.14,44,2025-03-02
CUST-4056,Customer_56,Pune,High Value Loyal,81074.29,40,2025-02-02
CUST-4057,Customer_57,Jaipur,High Value Loyal,88358.05,5,2025-07-03
CUST-4058,Customer_58,Pune,High Value Loyal,38004.98,44,2025-06-04
CUST-4059,Customer_59,Jaipur,High Value Loyal,36985.89,29,2025-07-15
CUST-4060,Customer_60,Hyderabad,High Value Loyal,60563.49,35,2025-04-23
CUST-4061,Customer_61,Bengaluru,At Risk,100104.38,35,2025-06-01
CUST-4062,Customer_62,Bengaluru,Price Sensitive,85467.91,42,2025-07-11
CUST-4063,Customer_63,Mumbai,New Registrant,109658.95,10,2025-03-05
CUST-4064,Customer_64,Mumbai,High Value Loyal,72658.03,26,2025-10-03
CUST-4065,Customer_65,Pune,High Value Loyal,39824.67,23,2025-04-19
CUST-4066,Customer_66,Hyderabad,New Registrant,19950.75,12,2025-04-24
CUST-4067,Customer_67,Jaipur,Price Sensitive,26304.96,12,2025-12-10
CUST-4068,Customer_68,Jaipur,High Value Loyal,106795.0,36,2025-08-25
CUST-4069,Customer_69,Pune,High Value Loyal,38104.95,5,2025-05-09
CUST-4070,Customer_70,Delhi,Frequent Buyer,91384.68,32,2025-06-19
CUST-4071,Customer_71,Chennai,Frequent Buyer,84733.71,16,2025-02-21
CUST-4072,Customer_72,Surat,New Registrant,11051.59,13,2025-06-12
CUST-4073,Customer_73,Kolkata,At Risk,42722.39,43,2025-06-06
CUST-4074,Customer_74,Jaipur,Frequent Buyer,71780.12,24,2025-06-11
CUST-4075,Customer_75,Hyderabad,Frequent Buyer,3091.91,16,2025-04-24
CUST-4076,Customer_76,Hyderabad,Price Sensitive,105413.48,9,2025-12-14
CUST-4077,Customer_77,Chennai,At Risk,59198.93,23,2026-02-01
CUST-4078,Customer_78,Surat,At Risk,70079.8,12,2025-11-27
CUST-4079,Customer_79,Jaipur,High Value Loyal,105619.64,9,2025-10-03
CUST-4080,Customer_80,Ahmedabad,Price Sensitive,92359.22,41,2025-02-09
CUST-4081,Customer_81,Delhi,High Value Loyal,106574.44,41,2025-01-16
CUST-4082,Customer_82,Jaipur,New Registrant,52128.97,38,2025-04-19
CUST-4083,Customer_83,Mumbai,New Registrant,34425.5,35,2025-08-30
CUST-4084,Customer_84,Bengaluru,Price Sensitive,50581.05,38,2026-01-11
CUST-4085,Customer_85,Surat,Frequent Buyer,59425.89,33,2025-02-16
CUST-4086,Customer_86,Hyderabad,Price Sensitive,64015.49,43,2025-05-03
CUST-4087,Customer_87,Jaipur,Frequent Buyer,95257.74,9,2025-08-17
CUST-4088,Customer_88,Bengaluru,Frequent Buyer,71878.76,37,2025-12-04
CUST-4089,Customer_89,Bengaluru,At Risk,117548.97,3,2025-04-23
CUST-4090,Customer_90,Kolkata,Frequent Buyer,10200.49,24,2025-04-30
CUST-4091,Customer_91,Mumbai,Frequent Buyer,65940.94,24,2025-07-18
CUST-4092,Customer_92,Kolkata,At Risk,110490.12,3,2025-11-29
CUST-4093,Customer_93,Chennai,High Value Loyal,88707.69,34,2025-11-21
CUST-4094,Customer_94,Surat,Price Sensitive,73382.35,37,2025-03-31
CUST-4095,Customer_95,Hyderabad,At Risk,47248.86,42,2025-02-09
CUST-4096,Customer_96,Pune,Price Sensitive,48600.28,15,2025-09-22
CUST-4097,Customer_97,Hyderabad,Price Sensitive,102611.5,23,2025-09-07
CUST-4098,Customer_98,Kolkata,New Registrant,3308.22,9,2025-08-14
CUST-4099,Customer_99,Bengaluru,Frequent Buyer,11943.31,42,2025-05-24
CUST-4100,Customer_100,Ahmedabad,Frequent Buyer,25395.95,24,2025-11-05
CUST-4101,Customer_101,Delhi,Frequent Buyer,53290.18,22,2026-01-04
CUST-4102,Customer_102,Delhi,At Risk,85215.6,31,2025-04-18
CUST-4103,Customer_103,Jaipur,Frequent Buyer,81789.26,27,2025-01-12
CUST-4104,Customer_104,Ahmedabad,High Value Loyal,18165.93,38,2025-03-24
CUST-4105,Customer_105,Bengaluru,New Registrant,7300.88,37,2025-03-17
CUST-4106,Customer_106,Mumbai,Frequent Buyer,34136.81,12,2025-09-22
CUST-4107,Customer_107,Hyderabad,New Registrant,121232.35,41,2025-01-10
CUST-4108,Customer_108,Surat,High Value Loyal,29032.69,39,2025-08-30
CUST-4109,Customer_109,Kolkata,Frequent Buyer,29372.07,27,2025-11-04
CUST-4110,Customer_110,Bengaluru,New Registrant,103005.51,12,2025-11-16
CUST-4111,Customer_111,Pune,Price Sensitive,23045.91,44,2025-06-25
CUST-4112,Customer_112,Kolkata,New Registrant,74848.01,15,2025-07-13
CUST-4113,Customer_113,Hyderabad,Frequent Buyer,15799.84,13,2025-09-25
CUST-4114,Customer_114,Pune,At Risk,103747.99,39,2025-02-19
CUST-4115,Customer_115,Bengaluru,At Risk,112947.01,39,2025-01-20
CUST-4116,Customer_116,Pune,New Registrant,94666.94,6,2025-09-04
CUST-4117,Customer_117,Bengaluru,New Registrant,68562.53,1,2026-02-01
CUST-4118,Customer_118,Hyderabad,New Registrant,54033.79,3,2025-12-24
CUST-4119,Customer_119,Pune,At Risk,30612.07,31,2026-01-29
CUST-4120,Customer_120,Hyderabad,Price Sensitive,74658.39,45,2025-10-22
CUST-4121,Customer_121,Delhi,At Risk,18900.68,31,2026-01-28
CUST-4122,Customer_122,Ahmedabad,High Value Loyal,37200.17,35,2025-07-29
CUST-4123,Customer_123,Surat,Frequent Buyer,3170.01,1,2025-10-23
CUST-4124,Customer_124,Pune,High Value Loyal,66170.83,25,2025-12-02
CUST-4125,Customer_125,Ahmedabad,Price Sensitive,52583.52,7,2025-03-21
CUST-4126,Customer_126,Hyderabad,New Registrant,33570.01,35,2025-08-05
CUST-4127,Customer_127,Jaipur,Price Sensitive,77455.38,44,2025-07-23
CUST-4128,Customer_128,Ahmedabad,At Risk,70132.86,36,2025-09-05
CUST-4129,Customer_129,Bengaluru,Price Sensitive,70988.99,31,2025-05-10
CUST-4130,Customer_130,Surat,New Registrant,44683.65,26,2026-01-12
CUST-4131,Customer_131,Bengaluru,High Value Loyal,94107.24,29,2026-02-05
CUST-4132,Customer_132,Bengaluru,High Value Loyal,28771.12,26,2025-06-23
CUST-4133,Customer_133,Pune,New Registrant,87889.53,4,2025-03-24
CUST-4134,Customer_134,Hyderabad,High Value Loyal,101035.25,10,2025-08-30
CUST-4135,Customer_135,Jaipur,At Risk,13297.23,17,2025-04-24
CUST-4136,Customer_136,Chennai,High Value Loyal,77106.04,25,2025-07-25
CUST-4137,Customer_137,Jaipur,New Registrant,37592.48,39,2025-01-30
CUST-4138,Customer_138,Bengaluru,At Risk,56274.08,13,2025-12-03
CUST-4139,Customer_139,Pune,Price Sensitive,26356.45,39,2025-09-19
CUST-4140,Customer_140,Pune,Frequent Buyer,77860.77,44,2025-01-19
CUST-4141,Customer_141,Chennai,Frequent Buyer,82739.84,11,2025-02-14
CUST-4142,Customer_142,Surat,At Risk,45758.14,26,2025-07-27
CUST-4143,Customer_143,Jaipur,Frequent Buyer,65923.48,5,2025-02-16
CUST-4144,Customer_144,Pune,Price Sensitive,91451.99,36,2025-10-26
CUST-4145,Customer_145,Chennai,Price Sensitive,120502.74,18,2025-04-26
CUST-4146,Customer_146,Jaipur,Frequent Buyer,58207.98,26,2025-10-22
CUST-4147,Customer_147,Mumbai,Price Sensitive,23941.76,33,2025-02-24
CUST-4148,Customer_148,Pune,High Value Loyal,64138.22,22,2025-03-01
CUST-4149,Customer_149,Pune,Price Sensitive,109823.85,37,2025-05-09
CUST-4150,Customer_150,Kolkata,At Risk,71488.15,16,2026-01-23
CUST-4151,Customer_151,Chennai,At Risk,85995.35,38,2025-01-15
CUST-4152,Customer_152,Kolkata,High Value Loyal,34082.92,25,2025-11-21
CUST-4153,Customer_153,Ahmedabad,Frequent Buyer,100519.77,27,2025-06-30
CUST-4154,Customer_154,Pune,New Registrant,3691.09,17,2025-05-08
CUST-4155,Customer_155,Surat,High Value Loyal,51369.0,22,2025-02-08
CUST-4156,Customer_156,Pune,Frequent Buyer,60878.04,23,2025-04-22
CUST-4157,Customer_157,Jaipur,Price Sensitive,24891.1,44,2025-04-08
CUST-4158,Customer_158,Kolkata,Frequent Buyer,31270.52,16,2025-05-16
CUST-4159,Customer_159,Ahmedabad,Frequent Buyer,27338.9,16,2025-11-13
CUST-4160,Customer_160,Chennai,Frequent Buyer,97919.96,8,2025-02-10
CUST-4161,Customer_161,Kolkata,New Registrant,3311.4,35,2025-01-22
CUST-4162,Customer_162,Kolkata,Price Sensitive,78531.77,32,2025-10-22
CUST-4163,Customer_163,Surat,At Risk,24901.8,33,2025-05-24
CUST-4164,Customer_164,Hyderabad,Frequent Buyer,94395.75,9,2025-01-28
CUST-4165,Customer_165,Pune,At Risk,61094.21,35,2025-01-17
CUST-4166,Customer_166,Pune,Price Sensitive,50730.32,44,2026-02-02
CUST-4167,Customer_167,Bengaluru,At Risk,122122.13,45,2025-09-23
CUST-4168,Customer_168,Kolkata,Price Sensitive,86928.29,1,2025-12-12
CUST-4169,Customer_169,Ahmedabad,At Risk,73673.51,21,2025-07-05
CUST-4170,Customer_170,Jaipur,Price Sensitive,25426.17,17,2025-05-02
CUST-4171,Customer_171,Surat,At Risk,119919.54,22,2025-07-07
CUST-4172,Customer_172,Bengaluru,At Risk,54433.0,27,2025-12-25
CUST-4173,Customer_173,Chennai,Price Sensitive,107154.95,18,2025-08-19
CUST-4174,Customer_174,Bengaluru,New Registrant,18564.55,37,2025-12-18
CUST-4175,Customer_175,Ahmedabad,High Value Loyal,90799.89,16,2025-10-12
CUST-4176,Customer_176,Hyderabad,At Risk,26517.74,10,2025-08-31
CUST-4177,Customer_177,Mumbai,Frequent Buyer,54136.28,9,2025-11-19
CUST-4178,Customer_178,Pune,New Registrant,90768.64,32,2025-06-03
CUST-4179,Customer_179,Surat,New Registrant,107666.49,4,2025-07-23
CUST-4180,Customer_180,Delhi,Frequent Buyer,9854.46,17,2025-09-01
CUST-4181,Customer_181,Delhi,At Risk,93712.67,17,2025-07-04
CUST-4182,Customer_182,Chennai,New Registrant,70792.71,17,2025-06-26
CUST-4183,Customer_183,Mumbai,At Risk,17351.59,44,2025-11-07
CUST-4184,Customer_184,Ahmedabad,New Registrant,73047.07,42,2025-10-03
CUST-4185,Customer_185,Bengaluru,Price Sensitive,46000.86,44,2025-09-19
CUST-4186,Customer_186,Kolkata,At Risk,111479.98,25,2025-11-11
CUST-4187,Customer_187,Surat,At Risk,79884.74,10,2025-03-27
CUST-4188,Customer_188,Chennai,At Risk,79830.99,37,2025-07-27
CUST-4189,Customer_189,Delhi,High Value Loyal,22344.94,15,2025-06-10
CUST-4190,Customer_190,Chennai,Price Sensitive,89528.1,39,2025-11-27
CUST-4191,Customer_191,Hyderabad,Price Sensitive,111242.25,24,2026-01-18
CUST-4192,Customer_192,Jaipur,New Registrant,120776.94,27,2025-03-27
CUST-4193,Customer_193,Bengaluru,High Value Loyal,17817.39,16,2025-12-05
CUST-4194,Customer_194,Surat,High Value Loyal,28295.01,26,2025-02-22
CUST-4195,Customer_195,Delhi,High Value Loyal,117257.22,31,2025-10-08
CUST-4196,Customer_196,Mumbai,High Value Loyal,96939.38,34,2026-01-27
CUST-4197,Customer_197,Delhi,High Value Loyal,34650.4,10,2025-02-13
CUST-4198,Customer_198,Hyderabad,Price Sensitive,30596.1,19,2025-08-15
CUST-4199,Customer_199,Bengaluru,Frequent Buyer,67025.94,11,2025-01-15
CUST-4200,Customer_200,Mumbai,Price Sensitive,107895.18,21,2025-09-01
CUST-4201,Customer_201,Kolkata,New Registrant,117020.05,36,2025-08-16
CUST-4202,Customer_202,Bengaluru,New Registrant,24186.99,39,2025-08-22
CUST-4203,Customer_203,Jaipur,At Risk,66623.83,41,2025-10-01
CUST-4204,Customer_204,Surat,Price Sensitive,61502.33,15,2025-02-15
CUST-4205,Customer_205,Kolkata,Price Sensitive,47308.46,17,2025-03-21
CUST-4206,Customer_206,Surat,High Value Loyal,2511.31,9,2025-06-26
CUST-4207,Customer_207,Surat,At Risk,68049.61,45,2025-09-09
CUST-4208,Customer_208,Kolkata,Price Sensitive,3618.74,28,2025-05-30
CUST-4209,Customer_209,Jaipur,Frequent Buyer,100104.0,36,2025-07-11
CUST-4210,Customer_210,Ahmedabad,At Risk,110564.85,28,2025-07-22
CUST-4211,Customer_211,Ahmedabad,Frequent Buyer,90079.9,42,2025-07-19
CUST-4212,Customer_212,Hyderabad,Frequent Buyer,34715.08,28,2025-11-17
CUST-4213,Customer_213,Ahmedabad,New Registrant,96155.94,40,2025-12-22
CUST-4214,Customer_214,Surat,Price Sensitive,81935.99,35,2025-05-18
CUST-4215,Customer_215,Hyderabad,Frequent Buyer,107051.55,12,2025-03-11
CUST-4216,Customer_216,Surat,High Value Loyal,80519.36,40,2025-08-20
CUST-4217,Customer_217,Surat,New Registrant,62769.51,21,2025-01-10
CUST-4218,Customer_218,Bengaluru,High Value Loyal,121290.24,2,2025-04-06
CUST-4219,Customer_219,Delhi,Price Sensitive,35476.4,29,2026-01-08
