escrow_txn_id,reference_type,reference_id,buyer_id,seller_or_vendor_id,amount_inr,hold_date,release_date,status,milestone_trigger
ESC-30001,Order Purchase,ORD-10001,CUST-1001,STR-502,13996,2026-02-03,PENDING,Refunded,Delivery Audit Confirmed
ESC-30002,Order Purchase,ORD-10002,CUST-1002,STR-503,10497,2025-11-28,PENDING,Refunded,Delivery Audit Confirmed
ESC-30003,Order Purchase,ORD-10003,CUST-1003,STR-504,3996,2025-09-14,PENDING,Held,Delivery Audit Confirmed
ESC-30004,Order Purchase,ORD-10004,CUST-1004,STR-505,1996,2025-07-27,2025-07-27,Released,Delivery Audit Confirmed
ESC-30005,Order Purchase,ORD-10005,CUST-1005,STR-501,1398,2025-01-03,2025-01-03,Released,Delivery Audit Confirmed
ESC-30006,Order Purchase,ORD-10006,CUST-1006,STR-502,2998,2026-02-05,PENDING,Refunded,Delivery Audit Confirmed
ESC-30007,Order Purchase,ORD-10007,CUST-1007,STR-503,9996,2025-10-19,PENDING,Held,Delivery Audit Confirmed
ESC-30008,Order Purchase,ORD-10008,CUST-1008,STR-504,2998,2025-08-25,PENDING,Held,Delivery Audit Confirmed
ESC-30009,Order Purchase,ORD-10009,CUST-1009,STR-505,2499,2025-09-18,2025-09-18,Released,Delivery Audit Confirmed
ESC-30010,Order Purchase,ORD-10010,CUST-1010,STR-501,499,2026-02-11,2026-02-11,Released,Delivery Audit Confirmed
ESC-30011,Order Purchase,ORD-10011,CUST-1011,STR-502,4998,2025-02-22,2025-02-22,Released,Delivery Audit Confirmed
ESC-30012,Order Purchase,ORD-10012,CUST-1012,STR-503,998,2025-12-03,2025-12-03,Released,Delivery Audit Confirmed
ESC-30013,Order Purchase,ORD-10013,CUST-1013,STR-504,1996,2025-03-23,PENDING,Refunded,Delivery Audit Confirmed
ESC-30014,Order Purchase,ORD-10014,CUST-1014,STR-505,2796,2025-09-21,2025-09-21,Released,Delivery Audit Confirmed
ESC-30015,Order Purchase,ORD-10015,CUST-1015,STR-501,499,2025-03-12,2025-03-12,Released,Delivery Audit Confirmed
ESC-30016,Order Purchase,ORD-10016,CUST-1016,STR-502,2499,2025-04-27,2025-04-27,Released,Delivery Audit Confirmed
ESC-30017,Order Purchase,ORD-10017,CUST-1017,STR-503,999,2025-10-12,2025-10-12,Released,Delivery Audit Confirmed
ESC-30018,Order Purchase,ORD-10018,CUST-1018,STR-504,1998,2025-03-30,2025-03-30,Released,Delivery Audit Confirmed
ESC-30019,Order Purchase,ORD-10019,CUST-1019,STR-505,2499,2025-12-15,2025-12-15,Released,Delivery Audit Confirmed
ESC-30020,Order Purchase,ORD-10020,CUST-1020,STR-501,9996,2025-03-10,2025-03-10,Released,Delivery Audit Confirmed
ESC-30021,Order Purchase,ORD-10021,CUST-1021,STR-502,998,2025-02-12,2025-02-12,Released,Delivery Audit Confirmed
ESC-30022,Order Purchase,ORD-10022,CUST-1022,STR-503,4497,2026-03-02,PENDING,Held,Delivery Audit Confirmed
ESC-30023,Order Purchase,ORD-10023,CUST-1023,STR-504,1497,2026-05-22,2026-05-22,Released,Delivery Audit Confirmed
ESC-30024,Order Purchase,ORD-10024,CUST-1024,STR-505,1497,2025-11-16,PENDING,Refunded,Delivery Audit Confirmed
ESC-30025,Order Purchase,ORD-10025,CUST-1025,STR-501,1996,2025-06-06,2025-06-06,Released,Delivery Audit Confirmed
ESC-30026,Order Purchase,ORD-10026,CUST-1026,STR-502,2997,2026-02-21,PENDING,Held,Delivery Audit Confirmed
ESC-30027,Order Purchase,ORD-10027,CUST-1027,STR-503,1497,2025-04-08,2025-04-08,Released,Delivery Audit Confirmed
ESC-30028,Order Purchase,ORD-10028,CUST-1028,STR-504,3499,2025-02-20,PENDING,Refunded,Delivery Audit Confirmed
ESC-30029,Order Purchase,ORD-10029,CUST-1029,STR-505,3499,2025-02-11,2025-02-11,Released,Delivery Audit Confirmed
ESC-30030,Order Purchase,ORD-10030,CUST-1030,STR-501,1499,2025-04-07,2025-04-07,Released,Delivery Audit Confirmed
ESC-30031,Order Purchase,ORD-10031,CUST-1031,STR-502,998,2025-04-20,2025-04-20,Released,Delivery Audit Confirmed
ESC-30032,Order Purchase,ORD-10032,CUST-1032,STR-503,6998,2026-04-27,PENDING,Refunded,Delivery Audit Confirmed
ESC-30033,Order Purchase,ORD-10033,CUST-1033,STR-504,3499,2026-06-06,2026-06-06,Released,Delivery Audit Confirmed
ESC-30034,Order Purchase,ORD-10034,CUST-1034,STR-505,9996,2025-10-07,2025-10-07,Released,Delivery Audit Confirmed
ESC-30035,Order Purchase,ORD-10035,CUST-1035,STR-501,2998,2026-06-25,PENDING,Refunded,Delivery Audit Confirmed
ESC-30036,Order Purchase,ORD-10036,CUST-1036,STR-502,10497,2025-05-08,2025-05-08,Released,Delivery Audit Confirmed
ESC-30037,Order Purchase,ORD-10037,CUST-1037,STR-503,4998,2025-07-15,PENDING,Refunded,Delivery Audit Confirmed
ESC-30038,Order Purchase,ORD-10038,CUST-1038,STR-504,3499,2025-08-25,2025-08-25,Released,Delivery Audit Confirmed
ESC-30039,Order Purchase,ORD-10039,CUST-1039,STR-505,3499,2025-08-12,PENDING,Held,Delivery Audit Confirmed
ESC-30040,Order Purchase,ORD-10040,CUST-1040,STR-501,1398,2025-12-16,2025-12-16,Released,Delivery Audit Confirmed
ESC-30041,Order Purchase,ORD-10041,CUST-1041,STR-502,5996,2025-05-07,2025-05-07,Released,Delivery Audit Confirmed
ESC-30042,Order Purchase,ORD-10042,CUST-1042,STR-503,6998,2025-07-31,2025-07-31,Released,Delivery Audit Confirmed
ESC-30043,Order Purchase,ORD-10043,CUST-1043,STR-504,5996,2025-02-20,2025-02-20,Released,Delivery Audit Confirmed
ESC-30044,Order Purchase,ORD-10044,CUST-1044,STR-505,1996,2026-06-21,2026-06-21,Released,Delivery Audit Confirmed
ESC-30045,Order Purchase,ORD-10045,CUST-1045,STR-501,2499,2025-01-15,2025-01-15,Released,Delivery Audit Confirmed
ESC-30046,Order Purchase,ORD-10046,CUST-1046,STR-502,5996,2025-07-25,2025-07-25,Released,Delivery Audit Confirmed
ESC-30047,Order Purchase,ORD-10047,CUST-1047,STR-503,2796,2025-01-18,PENDING,Refunded,Delivery Audit Confirmed
ESC-30048,Order Purchase,ORD-10048,CUST-1048,STR-504,999,2026-06-06,2026-06-06,Released,Delivery Audit Confirmed
ESC-30049,Order Purchase,ORD-10049,CUST-1049,STR-505,499,2025-11-14,2025-11-14,Released,Delivery Audit Confirmed
ESC-30050,Order Purchase,ORD-10050,CUST-1050,STR-501,6998,2025-09-08,2025-09-08,Released,Delivery Audit Confirmed
ESC-30051,Order Purchase,ORD-10051,CUST-1051,STR-502,1499,2026-03-06,2026-03-06,Released,Delivery Audit Confirmed
ESC-30052,Order Purchase,ORD-10052,CUST-1052,STR-503,6998,2025-09-15,2025-09-15,Released,Delivery Audit Confirmed
ESC-30053,Order Purchase,ORD-10053,CUST-1053,STR-504,999,2025-07-20,2025-07-20,Released,Delivery Audit Confirmed
ESC-30054,Order Purchase,ORD-10054,CUST-1054,STR-505,2796,2025-09-04,2025-09-04,Released,Delivery Audit Confirmed
ESC-30055,Order Purchase,ORD-10055,CUST-1055,STR-501,699,2025-05-21,2025-05-21,Released,Delivery Audit Confirmed
ESC-30056,Order Purchase,ORD-10056,CUST-1056,STR-502,13996,2025-03-16,2025-03-16,Released,Delivery Audit Confirmed
ESC-30057,Order Purchase,ORD-10057,CUST-1057,STR-503,2499,2025-04-10,PENDING,Refunded,Delivery Audit Confirmed
ESC-30058,Order Purchase,ORD-10058,CUST-1058,STR-504,999,2025-12-15,2025-12-15,Released,Delivery Audit Confirmed
ESC-30059,Order Purchase,ORD-10059,CUST-1059,STR-505,7497,2025-09-04,PENDING,Refunded,Delivery Audit Confirmed
ESC-30060,Order Purchase,ORD-10060,CUST-1060,STR-501,4998,2025-12-05,2025-12-05,Released,Delivery Audit Confirmed
ESC-30061,Order Purchase,ORD-10061,CUST-1061,STR-502,3499,2026-04-09,2026-04-09,Released,Delivery Audit Confirmed
ESC-30062,Order Purchase,ORD-10062,CUST-1062,STR-503,1398,2025-06-10,PENDING,Held,Delivery Audit Confirmed
ESC-30063,Order Purchase,ORD-10063,CUST-1063,STR-504,1996,2025-07-22,2025-07-22,Released,Delivery Audit Confirmed
ESC-30064,Order Purchase,ORD-10064,CUST-1064,STR-505,499,2025-08-20,2025-08-20,Released,Delivery Audit Confirmed
ESC-30065,Order Purchase,ORD-10065,CUST-1065,STR-501,2998,2025-06-07,2025-06-07,Released,Delivery Audit Confirmed
ESC-30066,Order Purchase,ORD-10066,CUST-1066,STR-502,499,2025-06-29,2025-06-29,Released,Delivery Audit Confirmed
ESC-30067,Order Purchase,ORD-10067,CUST-1067,STR-503,10497,2026-03-22,2026-03-22,Released,Delivery Audit Confirmed
ESC-30068,Order Purchase,ORD-10068,CUST-1068,STR-504,2998,2025-12-04,2025-12-04,Released,Delivery Audit Confirmed
ESC-30069,Order Purchase,ORD-10069,CUST-1069,STR-505,6998,2025-11-20,2025-11-20,Released,Delivery Audit Confirmed
ESC-30070,Order Purchase,ORD-10070,CUST-1070,STR-501,3499,2026-04-22,2026-04-22,Released,Delivery Audit Confirmed
ESC-30071,Order Purchase,ORD-10071,CUST-1071,STR-502,998,2026-05-06,2026-05-06,Released,Delivery Audit Confirmed
ESC-30072,Order Purchase,ORD-10072,CUST-1072,STR-503,699,2025-09-04,2025-09-04,Released,Delivery Audit Confirmed
ESC-30073,Order Purchase,ORD-10073,CUST-1073,STR-504,1398,2025-09-25,2025-09-25,Released,Delivery Audit Confirmed
ESC-30074,Order Purchase,ORD-10074,CUST-1074,STR-505,4998,2025-08-14,2025-08-14,Released,Delivery Audit Confirmed
ESC-30075,Order Purchase,ORD-10075,CUST-1075,STR-501,1497,2026-04-17,2026-04-17,Released,Delivery Audit Confirmed
