order_id,store_id,order_date,channel,product_id,quantity,unit_price_inr,total_amount_inr,shipping_cost_inr,payment_method,order_status,escrow_txn_id
ORD-10001,STR-502,2026-02-03,POS Counter,PRD-7039,4,3499,13996,0,Cash,Cancelled,ESC-30001
ORD-10002,STR-503,2025-11-28,Flipkart,PRD-5545,3,3499,10497,150,Net Banking,Returned,ESC-30002
ORD-10003,STR-504,2025-09-14,Flipkart,PRD-5382,4,999,3996,90,UPI,In-Transit,ESC-30003
ORD-10004,STR-505,2025-07-27,Instagram DM,PRD-5740,4,499,1996,60,Net Banking,Delivered,ESC-30004
ORD-10005,STR-501,2025-01-03,Shopify Storefront,PRD-6978,2,699,1398,90,Net Banking,Delivered,ESC-30005
ORD-10006,STR-502,2026-02-05,Myntra,PRD-7419,2,1499,2998,60,COD,Cancelled,ESC-30006
ORD-10007,STR-503,2025-10-19,Amazon IN,PRD-5074,4,2499,9996,60,COD,In-Transit,ESC-30007
ORD-10008,STR-504,2025-08-25,Amazon IN,PRD-7421,2,1499,2998,120,Net Banking,In-Transit,ESC-30008
ORD-10009,STR-505,2025-09-18,Flipkart,PRD-6087,1,2499,2499,90,UPI,Delivered,ESC-30009
ORD-10010,STR-501,2026-02-11,Shopify Storefront,PRD-6762,1,499,499,120,COD,Delivered,ESC-30010
ORD-10011,STR-502,2025-02-22,Flipkart,PRD-7377,2,2499,4998,180,Net Banking,Delivered,ESC-30011
ORD-10012,STR-503,2025-12-03,POS Counter,PRD-7233,2,499,998,0,Cash,Delivered,ESC-30012
ORD-10013,STR-504,2025-03-23,Amazon IN,PRD-6006,4,499,1996,60,Credit Card,Returned,ESC-30013
ORD-10014,STR-505,2025-09-21,Flipkart,PRD-5663,4,699,2796,90,Net Banking,Delivered,ESC-30014
ORD-10015,STR-501,2025-03-12,Shopify Storefront,PRD-5638,1,499,499,90,UPI,Delivered,ESC-30015
ORD-10016,STR-502,2025-04-27,Flipkart,PRD-6383,1,2499,2499,180,COD,Delivered,ESC-30016
ORD-10017,STR-503,2025-10-12,Shopify Storefront,PRD-6460,1,999,999,90,COD,Delivered,ESC-30017
ORD-10018,STR-504,2025-03-30,Shopify Storefront,PRD-5665,2,999,1998,90,Credit Card,Delivered,ESC-30018
ORD-10019,STR-505,2025-12-15,Flipkart,PRD-6772,1,2499,2499,150,Credit Card,Delivered,ESC-30019
ORD-10020,STR-501,2025-03-10,Instagram DM,PRD-5929,4,2499,9996,150,COD,Delivered,ESC-30020
ORD-10021,STR-502,2025-02-12,Shopify Storefront,PRD-6856,2,499,998,180,Net Banking,Delivered,ESC-30021
ORD-10022,STR-503,2026-03-02,Instagram DM,PRD-5031,3,1499,4497,60,Credit Card,In-Transit,ESC-30022
ORD-10023,STR-504,2026-05-22,Myntra,PRD-7260,3,499,1497,180,UPI,Delivered,ESC-30023
ORD-10024,STR-505,2025-11-16,Myntra,PRD-6744,3,499,1497,60,UPI,Returned,ESC-30024
ORD-10025,STR-501,2025-06-06,Amazon IN,PRD-6393,4,499,1996,180,Net Banking,Delivered,ESC-30025
ORD-10026,STR-502,2026-02-21,Shopify Storefront,PRD-5108,3,999,2997,90,UPI,In-Transit,ESC-30026
