shipment_id,order_id,carrier_name,tracking_number,promised_days,actual_days,shipping_cost_inr,sla_status
SHP-40002,ORD-10002,BlueDart Express,TRK900002,3,4,150,SLA Breached
SHP-40003,ORD-10003,Shadowfax Surface,TRK900003,3,7,90,SLA Breached
SHP-40004,ORD-10004,Shadowfax Surface,TRK900004,4,4,60,SLA Met
SHP-40005,ORD-10005,XpressBees Surface,TRK900005,4,4,90,SLA Met
SHP-40006,ORD-10006,Delhivery Direct,TRK900006,4,8,60,SLA Breached
SHP-40007,ORD-10007,XpressBees Surface,TRK900007,5,9,60,SLA Breached
SHP-40008,ORD-10008,XpressBees Surface,TRK900008,2,4,120,SLA Breached
SHP-40009,ORD-10009,BlueDart Express,TRK900009,5,5,90,SLA Met
SHP-40010,ORD-10010,XpressBees Surface,TRK900010,4,4,120,SLA Met
SHP-40011,ORD-10011,Ecom Express,TRK900011,3,3,180,SLA Met
SHP-40013,ORD-10013,Shadowfax Surface,TRK900013,4,6,60,SLA Breached
SHP-40014,ORD-10014,Shadowfax Surface,TRK900014,4,4,90,SLA Met
SHP-40015,ORD-10015,BlueDart Express,TRK900015,4,4,90,SLA Met
SHP-40016,ORD-10016,XpressBees Surface,TRK900016,5,5,180,SLA Met
SHP-40017,ORD-10017,Delhivery Direct,TRK900017,4,4,90,SLA Met
SHP-40018,ORD-10018,Delhivery Direct,TRK900018,4,4,90,SLA Met
SHP-40019,ORD-10019,XpressBees Surface,TRK900019,5,5,150,SLA Met
SHP-40020,ORD-10020,BlueDart Express,TRK900020,4,4,150,SLA Met
SHP-40021,ORD-10021,Shadowfax Surface,TRK900021,4,4,180,SLA Met
SHP-40022,ORD-10022,Ecom Express,TRK900022,2,4,60,SLA Breached
SHP-40023,ORD-10023,BlueDart Express,TRK900023,4,4,180,SLA Met
SHP-40024,ORD-10024,Ecom Express,TRK900024,3,6,60,SLA Breached
SHP-40025,ORD-10025,Shadowfax Surface,TRK900025,4,4,180,SLA Met
SHP-40026,ORD-10026,Delhivery Direct,TRK900026,2,5,90,SLA Breached
SHP-40027,ORD-10027,BlueDart Express,TRK900027,2,2,90,SLA Met
SHP-40028,ORD-10028,Ecom Express,TRK900028,4,5,180,SLA Breached
SHP-40029,ORD-10029,Delhivery Direct,TRK900029,3,3,120,SLA Met
SHP-40030,ORD-10030,XpressBees Surface,TRK900030,5,5,60,SLA Met
SHP-40031,ORD-10031,Delhivery Direct,TRK900031,2,2,120,SLA Met
SHP-40034,ORD-10034,BlueDart Express,TRK900034,5,5,90,SLA Met
SHP-40035,ORD-10035,BlueDart Express,TRK900035,4,7,180,SLA Breached
SHP-40036,ORD-10036,Ecom Express,TRK900036,2,2,180,SLA Met
SHP-40037,ORD-10037,Delhivery Direct,TRK900037,3,5,90,SLA Breached
SHP-40039,ORD-10039,Delhivery Direct,TRK900039,2,6,90,SLA Breached
SHP-40041,ORD-10041,BlueDart Express,TRK900041,3,3,180,SLA Met
SHP-40042,ORD-10042,Ecom Express,TRK900042,4,4,90,SLA Met
SHP-40043,ORD-10043,Ecom Express,TRK900043,2,2,90,SLA Met
SHP-40044,ORD-10044,Ecom Express,TRK900044,3,3,120,SLA Met
SHP-40045,ORD-10045,Ecom Express,TRK900045,3,3,150,SLA Met
SHP-40046,ORD-10046,BlueDart Express,TRK900046,5,5,120,SLA Met
SHP-40048,ORD-10048,XpressBees Surface,TRK900048,4,4,120,SLA Met
SHP-40049,ORD-10049,Shadowfax Surface,TRK900049,4,4,180,SLA Met
SHP-40050,ORD-10050,Shadowfax Surface,TRK900050,2,2,150,SLA Met
SHP-40051,ORD-10051,Ecom Express,TRK900051,4,4,90,SLA Met
SHP-40052,ORD-10052,XpressBees Surface,TRK900052,5,5,150,SLA Met
SHP-40054,ORD-10054,XpressBees Surface,TRK900054,2,2,150,SLA Met
SHP-40056,ORD-10056,Shadowfax Surface,TRK900056,3,3,90,SLA Met
SHP-40057,ORD-10057,Delhivery Direct,TRK900057,5,7,150,SLA Breached
SHP-40059,ORD-10059,Ecom Express,TRK900059,5,7,90,SLA Breached
SHP-40060,ORD-10060,Shadowfax Surface,TRK900060,4,4,120,SLA Met
SHP-40061,ORD-10061,BlueDart Express,TRK900061,3,3,60,SLA Met
SHP-40064,ORD-10064,Ecom Express,TRK900064,4,4,90,SLA Met
SHP-40065,ORD-10065,XpressBees Surface,TRK900065,2,2,150,SLA Met
SHP-40066,ORD-10066,Delhivery Direct,TRK900066,5,5,90,SLA Met
SHP-40068,ORD-10068,Shadowfax Surface,TRK900068,5,5,150,SLA Met
SHP-40069,ORD-10069,XpressBees Surface,TRK900069,5,5,60,SLA Met
SHP-40070,ORD-10070,XpressBees Surface,TRK900070,2,2,90,SLA Met
SHP-40071,ORD-10071,BlueDart Express,TRK900071,3,3,180,SLA Met
SHP-40072,ORD-10072,Shadowfax Surface,TRK900072,2,2,180,SLA Met
SHP-40073,ORD-10073,BlueDart Express,TRK900073,3,3,60,SLA Met
SHP-40074,ORD-10074,Shadowfax Surface,TRK900074,2,2,150,SLA Met
SHP-40076,ORD-10076,Delhivery Direct,TRK900076,2,2,120,SLA Met
SHP-40077,ORD-10077,BlueDart Express,TRK900077,2,2,120,SLA Met
SHP-40078,ORD-10078,XpressBees Surface,TRK900078,2,2,120,SLA Met
SHP-40079,ORD-10079,XpressBees Surface,TRK900079,4,4,150,SLA Met
SHP-40080,ORD-10080,XpressBees Surface,TRK900080,2,2,180,SLA Met
SHP-40081,ORD-10081,XpressBees Surface,TRK900081,4,4,120,SLA Met
SHP-40082,ORD-10082,Shadowfax Surface,TRK900082,3,3,150,SLA Met
SHP-40083,ORD-10083,Ecom Express,TRK900083,2,2,90,SLA Met
SHP-40084,ORD-10084,XpressBees Surface,TRK900084,2,2,180,SLA Met
SHP-40086,ORD-10086,BlueDart Express,TRK900086,4,4,60,SLA Met
SHP-40087,ORD-10087,BlueDart Express,TRK900087,3,3,90,SLA Met
SHP-40089,ORD-10089,Shadowfax Surface,TRK900089,3,3,90,SLA Met
SHP-40091,ORD-10091,BlueDart Express,TRK900091,2,2,120,SLA Met
SHP-40094,ORD-10094,Shadowfax Surface,TRK900094,3,3,60,SLA Met
SHP-40095,ORD-10095,Shadowfax Surface,TRK900095,2,2,60,SLA Met
SHP-40097,ORD-10097,Delhivery Direct,TRK900097,3,3,60,SLA Met
SHP-40098,ORD-10098,BlueDart Express,TRK900098,3,3,150,SLA Met
SHP-40099,ORD-10099,Delhivery Direct,TRK900099,3,3,90,SLA Met
SHP-40100,ORD-10100,Ecom Express,TRK900100,4,4,180,SLA Met
SHP-40101,ORD-10101,BlueDart Express,TRK900101,3,3,180,SLA Met
SHP-40102,ORD-10102,BlueDart Express,TRK900102,2,2,150,SLA Met
SHP-40103,ORD-10103,XpressBees Surface,TRK900103,5,6,120,SLA Breached
SHP-40104,ORD-10104,Delhivery Direct,TRK900104,2,2,60,SLA Met
SHP-40105,ORD-10105,XpressBees Surface,TRK900105,5,5,180,SLA Met
SHP-40106,ORD-10106,BlueDart Express,TRK900106,3,3,90,SLA Met
SHP-40108,ORD-10108,Delhivery Direct,TRK900108,5,5,60,SLA Met
SHP-40109,ORD-10109,XpressBees Surface,TRK900109,2,2,150,SLA Met
SHP-40110,ORD-10110,Shadowfax Surface,TRK900110,2,4,60,SLA Breached
SHP-40111,ORD-10111,Shadowfax Surface,TRK900111,2,2,150,SLA Met
SHP-40112,ORD-10112,XpressBees Surface,TRK900112,5,5,120,SLA Met
SHP-40113,ORD-10113,XpressBees Surface,TRK900113,3,3,150,SLA Met
SHP-40114,ORD-10114,XpressBees Surface,TRK900114,2,2,60,SLA Met
SHP-40116,ORD-10116,Ecom Express,TRK900116,4,4,120,SLA Met
SHP-40117,ORD-10117,XpressBees Surface,TRK900117,4,4,180,SLA Met
SHP-40118,ORD-10118,XpressBees Surface,TRK900118,5,5,90,SLA Met
SHP-40119,ORD-10119,XpressBees Surface,TRK900119,4,4,180,SLA Met
SHP-40120,ORD-10120,XpressBees Surface,TRK900120,4,4,120,SLA Met
SHP-40122,ORD-10122,XpressBees Surface,TRK900122,2,2,180,SLA Met
SHP-40124,ORD-10124,XpressBees Surface,TRK900124,3,3,90,SLA Met
SHP-40125,ORD-10125,Shadowfax Surface,TRK900125,2,2,90,SLA Met
SHP-40126,ORD-10126,Ecom Express,TRK900126,3,3,180,SLA Met
SHP-40127,ORD-10127,XpressBees Surface,TRK900127,5,5,120,SLA Met
SHP-40128,ORD-10128,BlueDart Express,TRK900128,2,2,60,SLA Met
SHP-40129,ORD-10129,XpressBees Surface,TRK900129,5,5,120,SLA Met
SHP-40131,ORD-10131,XpressBees Surface,TRK900131,5,5,60,SLA Met
SHP-40132,ORD-10132,XpressBees Surface,TRK900132,3,3,150,SLA Met
SHP-40133,ORD-10133,Delhivery Direct,TRK900133,4,4,180,SLA Met
SHP-40134,ORD-10134,XpressBees Surface,TRK900134,3,3,120,SLA Met
SHP-40135,ORD-10135,Shadowfax Surface,TRK900135,3,3,90,SLA Met
SHP-40136,ORD-10136,Ecom Express,TRK900136,2,2,180,SLA Met
SHP-40137,ORD-10137,Ecom Express,TRK900137,2,2,90,SLA Met
SHP-40138,ORD-10138,Delhivery Direct,TRK900138,4,4,180,SLA Met
SHP-40139,ORD-10139,Delhivery Direct,TRK900139,3,3,90,SLA Met
SHP-40140,ORD-10140,Ecom Express,TRK900140,2,2,120,SLA Met
SHP-40142,ORD-10142,XpressBees Surface,TRK900142,5,5,90,SLA Met
SHP-40143,ORD-10143,Shadowfax Surface,TRK900143,4,7,150,SLA Breached
SHP-40144,ORD-10144,Delhivery Direct,TRK900144,2,2,90,SLA Met
SHP-40145,ORD-10145,Ecom Express,TRK900145,2,2,150,SLA Met
SHP-40146,ORD-10146,BlueDart Express,TRK900146,2,3,150,SLA Breached
SHP-40147,ORD-10147,BlueDart Express,TRK900147,5,5,90,SLA Met
SHP-40148,ORD-10148,XpressBees Surface,TRK900148,3,4,150,SLA Breached
SHP-40149,ORD-10149,Delhivery Direct,TRK900149,5,5,120,SLA Met
SHP-40150,ORD-10150,Ecom Express,TRK900150,2,2,60,SLA Met
SHP-40152,ORD-10152,Shadowfax Surface,TRK900152,4,4,90,SLA Met
SHP-40153,ORD-10153,XpressBees Surface,TRK900153,4,8,120,SLA Breached
SHP-40154,ORD-10154,Ecom Express,TRK900154,5,5,180,SLA Met
SHP-40155,ORD-10155,BlueDart Express,TRK900155,2,2,150,SLA Met
SHP-40156,ORD-10156,BlueDart Express,TRK900156,4,7,90,SLA Breached
SHP-40157,ORD-10157,Delhivery Direct,TRK900157,5,5,60,SLA Met
SHP-40158,ORD-10158,BlueDart Express,TRK900158,5,5,180,SLA Met
SHP-40159,ORD-10159,Ecom Express,TRK900159,5,5,60,SLA Met
SHP-40160,ORD-10160,BlueDart Express,TRK900160,3,3,180,SLA Met
SHP-40161,ORD-10161,Ecom Express,TRK900161,2,2,60,SLA Met
SHP-40162,ORD-10162,Ecom Express,TRK900162,4,4,120,SLA Met
SHP-40163,ORD-10163,Shadowfax Surface,TRK900163,3,3,60,SLA Met
SHP-40164,ORD-10164,XpressBees Surface,TRK900164,5,9,120,SLA Breached
SHP-40166,ORD-10166,Shadowfax Surface,TRK900166,2,2,90,SLA Met
SHP-40170,ORD-10170,Delhivery Direct,TRK900170,4,4,90,SLA Met
SHP-40171,ORD-10171,Ecom Express,TRK900171,5,8,120,SLA Breached
SHP-40172,ORD-10172,Shadowfax Surface,TRK900172,3,3,120,SLA Met
SHP-40173,ORD-10173,XpressBees Surface,TRK900173,3,3,150,SLA Met
SHP-40174,ORD-10174,Delhivery Direct,TRK900174,4,4,60,SLA Met
SHP-40175,ORD-10175,Shadowfax Surface,TRK900175,3,3,120,SLA Met
SHP-40176,ORD-10176,XpressBees Surface,TRK900176,2,3,150,SLA Breached
SHP-40179,ORD-10179,Shadowfax Surface,TRK900179,2,2,60,SLA Met
SHP-40181,ORD-10181,XpressBees Surface,TRK900181,5,9,60,SLA Breached
SHP-40182,ORD-10182,XpressBees Surface,TRK900182,4,4,150,SLA Met
SHP-40183,ORD-10183,Shadowfax Surface,TRK900183,3,3,120,SLA Met
SHP-40184,ORD-10184,Shadowfax Surface,TRK900184,2,4,90,SLA Breached
SHP-40185,ORD-10185,Shadowfax Surface,TRK900185,2,2,90,SLA Met
SHP-40186,ORD-10186,Ecom Express,TRK900186,3,3,120,SLA Met
SHP-40187,ORD-10187,BlueDart Express,TRK900187,5,5,120,SLA Met
SHP-40188,ORD-10188,Delhivery Direct,TRK900188,3,3,150,SLA Met
SHP-40189,ORD-10189,BlueDart Express,TRK900189,2,4,120,SLA Breached
SHP-40190,ORD-10190,Shadowfax Surface,TRK900190,2,2,90,SLA Met
SHP-40191,ORD-10191,BlueDart Express,TRK900191,5,5,180,SLA Met
SHP-40192,ORD-10192,XpressBees Surface,TRK900192,5,5,60,SLA Met
SHP-40193,ORD-10193,Shadowfax Surface,TRK900193,4,4,120,SLA Met
SHP-40194,ORD-10194,XpressBees Surface,TRK900194,2,2,180,SLA Met
SHP-40195,ORD-10195,Ecom Express,TRK900195,3,3,60,SLA Met
SHP-40196,ORD-10196,XpressBees Surface,TRK900196,3,3,150,SLA Met
SHP-40197,ORD-10197,Delhivery Direct,TRK900197,3,3,90,SLA Met
SHP-40198,ORD-10198,BlueDart Express,TRK900198,3,3,120,SLA Met
SHP-40199,ORD-10199,Shadowfax Surface,TRK900199,4,4,180,SLA Met
SHP-40200,ORD-10200,Shadowfax Surface,TRK900200,5,5,150,SLA Met
SHP-40201,ORD-10201,BlueDart Express,TRK900201,2,2,120,SLA Met
SHP-40202,ORD-10202,Delhivery Direct,TRK900202,3,3,90,SLA Met
SHP-40207,ORD-10207,XpressBees Surface,TRK900207,5,5,60,SLA Met
SHP-40208,ORD-10208,BlueDart Express,TRK900208,4,4,90,SLA Met
SHP-40209,ORD-10209,BlueDart Express,TRK900209,4,4,60,SLA Met
SHP-40210,ORD-10210,BlueDart Express,TRK900210,3,3,150,SLA Met
SHP-40211,ORD-10211,Shadowfax Surface,TRK900211,2,2,180,SLA Met
SHP-40212,ORD-10212,Delhivery Direct,TRK900212,5,9,180,SLA Breached
SHP-40213,ORD-10213,BlueDart Express,TRK900213,2,2,180,SLA Met
SHP-40214,ORD-10214,Delhivery Direct,TRK900214,3,3,150,SLA Met
SHP-40215,ORD-10215,Delhivery Direct,TRK900215,3,3,150,SLA Met
SHP-40216,ORD-10216,Delhivery Direct,TRK900216,3,5,120,SLA Breached
SHP-40217,ORD-10217,Ecom Express,TRK900217,3,3,120,SLA Met
SHP-40218,ORD-10218,XpressBees Surface,TRK900218,2,2,90,SLA Met
SHP-40219,ORD-10219,Ecom Express,TRK900219,3,6,60,SLA Breached
