escrow_id,order_id,amount,status,created_at,released_at
ESC-1001,ORD-1001,2399.88,Released,2025-09-02 11:00:00,2025-09-04 09:30:00
ESC-1002,ORD-1002,5250.00,Pending,2025-09-04 13:20:00,
ESC-1003,ORD-1003,899.99,Released,2025-09-06 10:45:00,2025-09-07 08:15:00
ESC-1004,ORD-1004,19999.00,Pending,2025-09-08 15:30:00,
ESC-1005,ORD-1005,479.88,Released,2025-09-10 09:10:00,2025-09-12 11:05:00
ESC-1006,ORD-1006,1499.97,Released,2025-09-12 14:55:00,2025-09-14 10:20:00
ESC-1007,ORD-1007,14999.00,Pending,2025-09-14 12:40:00,
ESC-1008,ORD-1008,799.99,Released,2025-09-16 08:25:00,2025-09-18 09:00:00
ESC-1009,ORD-1009,2599.99,Released,2025-09-18 11:35:00,2025-09-20 07:45:00
ESC-1010,ORD-1010,5499.00,Pending,2025-09-20 13:50:00,
