escrow_id,order_id,escrow_amount_inr,status,funded_date,released_date
ESC-6001,ORD-7173,22059.19,Disputed,2025-09-02,
ESC-6002,ORD-6532,36741.06,Released,2025-06-19,2025-06-24
ESC-6003,ORD-6735,104208.03,Funded,2025-03-11,
ESC-6004,ORD-7451,102141.68,In Inspection,2025-09-09,
ESC-6005,ORD-6039,73308.04,Funded,2025-02-28,
ESC-6006,ORD-5764,84883.25,Released,2025-04-11,2025-04-18
ESC-6007,ORD-6509,20527.52,Released,2025-10-20,2025-10-25
ESC-6008,ORD-5523,22773.12,Released,2025-02-12,2025-02-22
ESC-6009,ORD-6885,77825.77,Released,2025-01-05,2025-01-11
ESC-6010,ORD-7326,98525.84,Disputed,2025-08-13,
ESC-6011,ORD-6530,125883.42,Disputed,2025-01-29,
ESC-6012,ORD-6296,50534.37,Released,2025-09-11,2025-09-25
ESC-6013,ORD-6977,117693.77,In Inspection,2025-02-10,
ESC-6014,ORD-6879,46846.7,Funded,2025-03-06,
ESC-6015,ORD-6234,33723.23,Disputed,2025-06-13,
ESC-6016,ORD-5846,54086.97,In Inspection,2025-02-09,
ESC-6017,ORD-5282,104265.29,Released,2025-06-30,2025-07-03
ESC-6018,ORD-7407,23256.57,Released,2025-03-22,2025-03-25
ESC-6019,ORD-6113,78546.46,Disputed,2025-04-07,
ESC-6020,ORD-6559,89749.81,Released,2025-08-19,2025-09-01
ESC-6021,ORD-6444,148792.17,Released,2025-05-12,2025-05-18
ESC-6022,ORD-5818,87551.14,Released,2025-10-02,2025-10-11
ESC-6023,ORD-6887,146530.89,In Inspection,2025-10-02,
ESC-6024,ORD-6292,50365.68,Released,2025-10-21,2025-10-28
ESC-6025,ORD-5934,116666.58,In Inspection,2025-05-20,
ESC-6026,ORD-6090,120775.16,Funded,2025-02-04,
ESC-6027,ORD-5065,46726.69,Released,2025-08-31,2025-09-07
ESC-6028,ORD-5791,53949.14,In Inspection,2025-03-18,
ESC-6029,ORD-5470,138321.32,Funded,2025-02-24,
ESC-6030,ORD-7149,120455.2,In Inspection,2025-10-07,
ESC-6031,ORD-6703,92666.11,In Inspection,2025-02-28,
ESC-6032,ORD-5878,144009.32,Disputed,2025-10-28,
ESC-6033,ORD-6006,57032.36,Released,2025-04-18,2025-04-29
ESC-6034,ORD-6257,119994.75,Disputed,2025-02-09,
ESC-6035,ORD-5413,15650.0,Disputed,2025-09-13,
ESC-6036,ORD-5154,128625.94,Released,2025-08-23,2025-08-31
ESC-6037,ORD-6621,10348.57,Funded,2025-07-30,
ESC-6038,ORD-6173,126630.5,Disputed,2025-03-24,
ESC-6039,ORD-6575,30138.02,Released,2025-06-15,2025-06-22
ESC-6040,ORD-6705,148398.55,Funded,2025-04-02,
ESC-6041,ORD-5506,125003.02,Released,2025-05-09,2025-05-18
ESC-6042,ORD-5695,23752.69,Released,2025-10-19,2025-10-26
ESC-6043,ORD-5017,74803.24,Funded,2025-08-16,
ESC-6044,ORD-6009,100795.18,Released,2025-05-22,2025-05-31
ESC-6045,ORD-6569,137177.77,In Inspection,2025-06-24,
ESC-6046,ORD-6062,72161.95,Funded,2025-01-26,
ESC-6047,ORD-6709,9981.75,Released,2025-10-20,2025-10-31
ESC-6048,ORD-5316,10092.02,In Inspection,2025-07-03,
ESC-6049,ORD-5444,60199.48,Released,2025-03-10,2025-03-14
ESC-6050,ORD-6064,95780.01,Disputed,2025-02-13,
ESC-6051,ORD-5727,2567.12,Released,2025-03-26,2025-04-02
ESC-6052,ORD-5438,74421.66,Released,2025-02-04,2025-02-13
ESC-6053,ORD-7108,8636.76,In Inspection,2025-06-22,
ESC-6054,ORD-6787,39831.19,Funded,2025-09-28,
ESC-6055,ORD-6376,42297.36,Released,2025-04-22,2025-05-05
ESC-6056,ORD-5808,66625.71,Released,2025-01-07,2025-01-12
ESC-6057,ORD-7122,52730.26,In Inspection,2025-02-04,
ESC-6058,ORD-6347,135956.65,Disputed,2025-06-13,
ESC-6059,ORD-7261,19694.49,Disputed,2025-02-20,
ESC-6060,ORD-6529,109736.5,In Inspection,2025-03-29,
ESC-6061,ORD-7318,11282.81,Released,2025-04-01,2025-04-15
ESC-6062,ORD-6246,89915.69,Released,2025-02-13,2025-02-25
ESC-6063,ORD-5476,97360.94,Funded,2025-05-25,
ESC-6064,ORD-5656,86638.27,In Inspection,2025-05-19,
ESC-6065,ORD-7064,19153.2,Funded,2025-05-26,
ESC-6066,ORD-5029,113284.25,Released,2025-09-20,2025-09-28
ESC-6067,ORD-6626,135438.87,In Inspection,2025-04-08,
ESC-6068,ORD-7378,20347.07,Released,2025-07-31,2025-08-08
ESC-6069,ORD-5631,3343.93,Funded,2025-03-25,
ESC-6070,ORD-5126,18440.71,Released,2025-01-22,2025-01-27
ESC-6071,ORD-5212,93843.77,In Inspection,2025-06-04,
ESC-6072,ORD-6259,66786.37,In Inspection,2025-09-20,
ESC-6073,ORD-7133,60173.05,Released,2025-06-02,2025-06-13
ESC-6074,ORD-5304,104427.18,Released,2025-08-26,2025-08-31
ESC-6075,ORD-7458,20882.08,Disputed,2025-07-17,
ESC-6076,ORD-6873,133320.0,Released,2025-02-22,2025-03-03
ESC-6077,ORD-6279,143597.3,Disputed,2025-10-23,
ESC-6078,ORD-5507,149431.25,Released,2025-04-08,2025-04-13
ESC-6079,ORD-5466,85062.6,Funded,2025-02-18,
ESC-6080,ORD-5403,30626.49,In Inspection,2025-06-11,
ESC-6081,ORD-5563,34614.92,Released,2025-07-26,2025-08-06
ESC-6082,ORD-5700,133363.68,Released,2025-05-29,2025-06-03
