inventory_id,product_id,warehouse_location,quantity_on_hand,quantity_reserved,stock_age_days,last_restock_date
INV-6001,PRD-3001,WH-North-Delhi,206,35,22,2025-02-17
INV-6002,PRD-3002,WH-South-Bengaluru,451,5,137,2025-02-17
INV-6003,PRD-3003,WH-Central-Nagpur,382,38,151,2025-01-05
INV-6004,PRD-3004,WH-West-Mumbai,76,28,126,2025-03-31
INV-6005,PRD-3005,WH-North-Delhi,295,7,7,2025-04-10
INV-6006,PRD-3006,WH-Central-Nagpur,157,21,15,2025-03-31
INV-6007,PRD-3007,WH-East-Kolkata,332,35,103,2025-01-03
INV-6008,PRD-3008,WH-South-Bengaluru,499,15,98,2025-02-22
INV-6009,PRD-3009,WH-East-Kolkata,17,10,14,2025-01-30
INV-6010,PRD-3010,WH-North-Delhi,227,17,113,2025-03-17
INV-6011,PRD-3011,WH-Central-Nagpur,125,13,11,2025-02-20
INV-6012,PRD-3012,WH-East-Kolkata,330,28,175,2025-01-28
INV-6013,PRD-3013,WH-West-Mumbai,418,25,125,2025-03-31
INV-6014,PRD-3014,WH-West-Mumbai,280,8,51,2025-04-05
INV-6015,PRD-3015,WH-North-Delhi,215,26,126,2025-03-15
INV-6016,PRD-3016,WH-South-Bengaluru,397,5,162,2025-01-03
INV-6017,PRD-3017,WH-Central-Nagpur,231,32,170,2025-03-06
INV-6018,PRD-3018,WH-East-Kolkata,168,13,133,2025-04-08
INV-6019,PRD-3019,WH-South-Bengaluru,346,38,16,2025-02-19
INV-6020,PRD-3020,WH-East-Kolkata,384,13,151,2025-02-23
INV-6021,PRD-3021,WH-North-Delhi,155,10,136,2025-03-30
INV-6022,PRD-3022,WH-Central-Nagpur,444,32,128,2025-02-21
INV-6023,PRD-3023,WH-West-Mumbai,379,20,168,2025-02-11
INV-6024,PRD-3024,WH-West-Mumbai,432,40,82,2025-03-15
INV-6025,PRD-3025,WH-North-Delhi,71,7,121,2025-01-08
INV-6026,PRD-3026,WH-South-Bengaluru,331,35,113,2025-04-08
