log_id,product_id,warehouse_id,change_qty,timestamp,reason
LOG-1001,PRD-1001,WH-001,5,2025-09-02 10:15:00,Stock Received
LOG-1002,PRD-1002,WH-002,-3,2025-09-04 12:30:00,Order Fulfilled
LOG-1003,PRD-1003,WH-003,2,2025-09-06 09:45:00,Inventory Audit
LOG-1004,PRD-1004,WH-001,-1,2025-09-08 14:20:00,Damaged Goods
LOG-1005,PRD-1005,WH-004,4,2025-09-10 11:05:00,Stock Received
LOG-1006,PRD-1006,WH-002,6,2025-09-12 16:40:00,Stock Received
LOG-1007,PRD-1007,WH-003,-2,2025-09-14 13:55:00,Order Fulfilled
LOG-1008,PRD-1008,WH-001,3,2025-09-16 08:10:00,Stock Received
LOG-1009,PRD-1009,WH-004,-5,2025-09-18 15:25:00,Order Fulfilled
LOG-1010,PRD-1010,WH-002,2,2025-09-20 10:00:00,Stock Received
