movement_id,product_id,movement_type,quantity_changed,movement_date,reference_doc
MOV-301,PRD-3248,PO Inbound,82,2025-09-11,REF-41629
MOV-302,PRD-3139,Shrinkage Adjustment,-3,2025-05-08,REF-23873
MOV-303,PRD-3212,PO Inbound,29,2025-06-02,REF-11648
MOV-304,PRD-3383,Shrinkage Adjustment,-38,2025-03-07,REF-99814
MOV-305,PRD-3382,PO Inbound,50,2025-05-18,REF-55881
MOV-306,PRD-3247,Return Inbound,23,2025-09-07,REF-55260
MOV-307,PRD-3148,Sales Outbound,-46,2025-09-15,REF-97377
MOV-308,PRD-3448,Sales Outbound,-9,2025-10-15,REF-62378
MOV-309,PRD-3251,Warehouse Transfer,-22,2025-02-16,REF-56538
MOV-310,PRD-3349,PO Inbound,55,2025-07-20,REF-78297
MOV-311,PRD-3479,Warehouse Transfer,-5,2025-06-27,REF-56998
MOV-312,PRD-3381,Shrinkage Adjustment,-8,2025-06-16,REF-57815
MOV-313,PRD-3428,Shrinkage Adjustment,-44,2025-08-02,REF-20610
MOV-314,PRD-3441,Shrinkage Adjustment,-27,2025-10-14,REF-86318
MOV-315,PRD-3457,Return Inbound,6,2025-10-17,REF-41393
MOV-316,PRD-3216,Sales Outbound,-25,2025-05-09,REF-63389
MOV-317,PRD-3328,PO Inbound,44,2025-10-19,REF-58561
MOV-318,PRD-3161,PO Inbound,90,2025-07-31,REF-25278
MOV-319,PRD-3443,PO Inbound,29,2025-04-17,REF-86940
MOV-320,PRD-3172,Shrinkage Adjustment,-13,2025-04-06,REF-27262
MOV-321,PRD-3134,Return Inbound,10,2025-09-19,REF-29476
MOV-322,PRD-3192,Shrinkage Adjustment,-39,2025-07-26,REF-18831
MOV-323,PRD-3304,Sales Outbound,-6,2025-03-16,REF-94048
MOV-324,PRD-3364,Shrinkage Adjustment,-37,2025-08-19,REF-50880
MOV-325,PRD-3286,Shrinkage Adjustment,-38,2025-09-06,REF-82541
MOV-326,PRD-3156,Warehouse Transfer,-31,2025-10-20,REF-76514
MOV-327,PRD-3322,Warehouse Transfer,-27,2025-04-12,REF-21177
MOV-328,PRD-3293,Shrinkage Adjustment,-15,2025-01-30,REF-55548
MOV-329,PRD-3083,Shrinkage Adjustment,-41,2025-01-27,REF-44061
MOV-330,PRD-3363,Sales Outbound,-25,2025-10-20,REF-34012
MOV-331,PRD-3093,Return Inbound,73,2025-02-10,REF-65306
MOV-332,PRD-3129,Sales Outbound,-16,2025-01-03,REF-25794
MOV-333,PRD-3069,Shrinkage Adjustment,-19,2025-07-27,REF-86861
MOV-334,PRD-3470,PO Inbound,15,2025-09-07,REF-61177
MOV-335,PRD-3105,PO Inbound,97,2025-02-16,REF-84798
MOV-336,PRD-3423,Warehouse Transfer,-28,2025-05-05,REF-71170
MOV-337,PRD-3350,PO Inbound,68,2025-07-05,REF-97471
MOV-338,PRD-3178,Sales Outbound,-25,2025-01-03,REF-65058
MOV-339,PRD-3404,Sales Outbound,-12,2025-04-09,REF-11582
MOV-340,PRD-3212,Sales Outbound,-23,2025-08-02,REF-71662
MOV-341,PRD-3106,Return Inbound,63,2025-08-21,REF-58983
MOV-342,PRD-3201,Warehouse Transfer,-47,2025-05-29,REF-31784
MOV-343,PRD-3393,Warehouse Transfer,-34,2025-06-08,REF-18504
MOV-344,PRD-3001,Return Inbound,2,2025-01-19,REF-38454
MOV-345,PRD-3438,Sales Outbound,-31,2025-04-15,REF-12420
MOV-346,PRD-3112,Sales Outbound,-20,2025-09-26,REF-32821
MOV-347,PRD-3364,Shrinkage Adjustment,-20,2025-07-15,REF-37134
MOV-348,PRD-3384,Return Inbound,17,2025-04-28,REF-54766
MOV-349,PRD-3430,Shrinkage Adjustment,-6,2025-03-01,REF-82979
MOV-350,PRD-3264,Sales Outbound,-1,2025-05-05,REF-80784
MOV-351,PRD-3002,Shrinkage Adjustment,-44,2025-10-26,REF-53190
MOV-352,PRD-3259,Shrinkage Adjustment,-9,2025-02-04,REF-83686
MOV-353,PRD-3172,Sales Outbound,-42,2025-02-02,REF-23497
MOV-354,PRD-3049,Sales Outbound,-33,2025-02-10,REF-71162
MOV-355,PRD-3249,Warehouse Transfer,-2,2025-04-18,REF-93564
MOV-356,PRD-3201,Shrinkage Adjustment,-25,2025-07-21,REF-39954
MOV-357,PRD-3201,Warehouse Transfer,-20,2025-09-03,REF-32962
MOV-358,PRD-3260,PO Inbound,84,2025-05-07,REF-30757
MOV-359,PRD-3213,Return Inbound,75,2025-09-21,REF-46684
MOV-360,PRD-3173,PO Inbound,25,2025-04-13,REF-99636
MOV-361,PRD-3252,Warehouse Transfer,-4,2025-03-30,REF-97535
MOV-362,PRD-3340,Warehouse Transfer,-18,2025-01-16,REF-39480
MOV-363,PRD-3252,Return Inbound,28,2025-06-26,REF-92960
MOV-364,PRD-3353,Sales Outbound,-43,2025-02-25,REF-96527
MOV-365,PRD-3103,Sales Outbound,-46,2025-05-09,REF-54951
MOV-366,PRD-3065,Shrinkage Adjustment,-45,2025-06-18,REF-64336
MOV-367,PRD-3232,PO Inbound,75,2025-06-25,REF-16217
MOV-368,PRD-3417,Sales Outbound,-4,2025-07-09,REF-62796
MOV-369,PRD-3257,Shrinkage Adjustment,-36,2025-02-01,REF-69779
MOV-370,PRD-3405,PO Inbound,17,2025-07-23,REF-53222
MOV-371,PRD-3078,Return Inbound,80,2025-05-30,REF-81016
MOV-372,PRD-3310,PO Inbound,65,2025-07-02,REF-30968
MOV-373,PRD-3410,Warehouse Transfer,-33,2025-05-02,REF-76542
MOV-374,PRD-3258,Sales Outbound,-1,2025-02-07,REF-52992
MOV-375,PRD-3062,Return Inbound,76,2025-08-28,REF-67896
MOV-376,PRD-3255,Shrinkage Adjustment,-18,2025-10-22,REF-21698
MOV-377,PRD-3126,Shrinkage Adjustment,-47,2025-02-13,REF-63504
MOV-378,PRD-3439,Return Inbound,57,2025-07-31,REF-55400
MOV-379,PRD-3071,Warehouse Transfer,-11,2025-03-10,REF-60689
MOV-380,PRD-3056,Warehouse Transfer,-42,2025-06-17,REF-96055
MOV-381,PRD-3138,Warehouse Transfer,-43,2025-01-13,REF-27175
MOV-382,PRD-3289,Return Inbound,72,2025-05-15,REF-86074
MOV-383,PRD-3399,Return Inbound,25,2025-05-12,REF-51922
MOV-384,PRD-3235,Shrinkage Adjustment,-27,2025-07-22,REF-20069
MOV-385,PRD-3370,Sales Outbound,-35,2025-10-02,REF-67269
MOV-386,PRD-3176,Return Inbound,3,2025-01-18,REF-86365
MOV-387,PRD-3436,PO Inbound,90,2025-07-08,REF-87901
MOV-388,PRD-3178,Shrinkage Adjustment,-48,2025-08-16,REF-77576
MOV-389,PRD-3097,Sales Outbound,-14,2025-10-16,REF-95350
MOV-390,PRD-3499,Return Inbound,97,2025-04-07,REF-60282
MOV-391,PRD-3414,PO Inbound,15,2025-10-24,REF-47326
MOV-392,PRD-3045,Sales Outbound,-41,2025-08-24,REF-14022
MOV-393,PRD-3213,Shrinkage Adjustment,-7,2025-10-15,REF-52884
MOV-394,PRD-3344,Sales Outbound,-27,2025-01-18,REF-79606
MOV-395,PRD-3253,Warehouse Transfer,-3,2025-08-13,REF-27801
MOV-396,PRD-3001,Sales Outbound,-2,2025-04-25,REF-93084
MOV-397,PRD-3365,Sales Outbound,-36,2025-10-09,REF-23133
MOV-398,PRD-3484,PO Inbound,21,2025-01-06,REF-85738
MOV-399,PRD-3317,Shrinkage Adjustment,-26,2025-09-02,REF-66178
MOV-400,PRD-3113,Shrinkage Adjustment,-11,2025-01-09,REF-36128
MOV-401,PRD-3332,Shrinkage Adjustment,-15,2025-06-01,REF-42796
MOV-402,PRD-3258,Sales Outbound,-25,2025-07-05,REF-65119
MOV-403,PRD-3248,PO Inbound,59,2025-02-21,REF-85930
MOV-404,PRD-3323,PO Inbound,45,2025-07-27,REF-96422
MOV-405,PRD-3439,Return Inbound,63,2025-05-27,REF-35400
MOV-406,PRD-3302,Shrinkage Adjustment,-32,2025-09-02,REF-14452
MOV-407,PRD-3163,Return Inbound,51,2025-08-19,REF-36375
MOV-408,PRD-3308,Sales Outbound,-5,2025-07-20,REF-42932
MOV-409,PRD-3372,Warehouse Transfer,-1,2025-06-24,REF-45461
MOV-410,PRD-3218,Warehouse Transfer,-42,2025-09-30,REF-74900
MOV-411,PRD-3383,Sales Outbound,-46,2025-01-26,REF-56371
MOV-412,PRD-3265,Warehouse Transfer,-28,2025-10-01,REF-26320
MOV-413,PRD-3030,Sales Outbound,-22,2025-04-19,REF-22388
MOV-414,PRD-3070,Warehouse Transfer,-12,2025-08-05,REF-64994
MOV-415,PRD-3066,Return Inbound,35,2025-09-11,REF-76635
MOV-416,PRD-3459,PO Inbound,88,2025-01-17,REF-83865
MOV-417,PRD-3168,Warehouse Transfer,-4,2025-06-06,REF-11851
MOV-418,PRD-3435,PO Inbound,100,2025-05-31,REF-60607
MOV-419,PRD-3063,Return Inbound,78,2025-08-28,REF-11703
MOV-420,PRD-3021,PO Inbound,10,2025-10-24,REF-98017
MOV-421,PRD-3029,PO Inbound,58,2025-04-18,REF-78033
MOV-422,PRD-3260,Return Inbound,33,2025-07-20,REF-67806
MOV-423,PRD-3470,Sales Outbound,-41,2025-06-08,REF-75030
MOV-424,PRD-3145,Sales Outbound,-26,2025-10-21,REF-40405
MOV-425,PRD-3420,Warehouse Transfer,-41,2025-01-17,REF-82675
MOV-426,PRD-3310,Return Inbound,14,2025-04-18,REF-24065
MOV-427,PRD-3295,Warehouse Transfer,-21,2025-10-22,REF-59540
MOV-428,PRD-3255,PO Inbound,68,2025-04-23,REF-28802
MOV-429,PRD-3056,Sales Outbound,-1,2025-06-29,REF-48508
MOV-430,PRD-3065,Warehouse Transfer,-41,2025-05-10,REF-95818
MOV-431,PRD-3406,Sales Outbound,-23,2025-02-04,REF-23574
MOV-432,PRD-3045,Warehouse Transfer,-42,2025-01-22,REF-35731
MOV-433,PRD-3387,Return Inbound,77,2025-06-03,REF-11887
MOV-434,PRD-3296,Return Inbound,22,2025-10-23,REF-47052
MOV-435,PRD-3033,Sales Outbound,-21,2025-10-17,REF-68783
MOV-436,PRD-3319,Warehouse Transfer,-48,2025-01-19,REF-99553
MOV-437,PRD-3117,Sales Outbound,-16,2025-10-13,REF-81072
MOV-438,PRD-3364,Shrinkage Adjustment,-44,2025-08-03,REF-71375
MOV-439,PRD-3200,Shrinkage Adjustment,-3,2025-07-18,REF-31668
MOV-440,PRD-3431,Warehouse Transfer,-37,2025-06-13,REF-19310
MOV-441,PRD-3458,Sales Outbound,-50,2025-06-08,REF-12188
MOV-442,PRD-3332,Sales Outbound,-37,2025-08-29,REF-82104
MOV-443,PRD-3112,Warehouse Transfer,-30,2025-05-27,REF-48036
MOV-444,PRD-3343,Sales Outbound,-2,2025-09-28,REF-23096
MOV-445,PRD-3262,Sales Outbound,-27,2025-05-03,REF-31113
MOV-446,PRD-3354,Warehouse Transfer,-43,2025-04-15,REF-93052
MOV-447,PRD-3320,Shrinkage Adjustment,-46,2025-01-05,REF-33640
MOV-448,PRD-3198,Shrinkage Adjustment,-16,2025-09-19,REF-31868
