logistics_id,order_id,carrier_name,dispatch_date,estimated_days,actual_days,shipping_cost_inr,delivery_status
LOG-7001,ORD-6770,XpressBees,2025-08-30,5,4,292.04,Yes
LOG-7002,ORD-6682,XpressBees,2025-03-31,3,2,632.75,Yes
LOG-7003,ORD-6089,XpressBees,2025-01-28,5,7,713.16,Delayed
LOG-7004,ORD-5988,Ecom Express,2025-02-27,4,4,308.36,Yes
LOG-7005,ORD-6900,Shadowfax B2B,2025-03-05,2,1,135.75,Yes
LOG-7006,ORD-6365,Ecom Express,2025-08-25,5,5,588.88,Yes
LOG-7007,ORD-6077,Delhivery Surface,2025-12-06,2,3,539.02,Yes
LOG-7008,ORD-6982,Delhivery Surface,2025-03-30,4,5,383.13,Yes
LOG-7009,ORD-7050,Ecom Express,2025-07-25,4,3,214.04,Yes
LOG-7010,ORD-6108,Shadowfax B2B,2025-06-08,2,4,428.44,Delayed
LOG-7011,ORD-6533,Shadowfax B2B,2025-04-20,6,7,164.64,Yes
LOG-7012,ORD-5593,XpressBees,2025-07-07,4,5,441.35,Yes
LOG-7013,ORD-7385,Ecom Express,2025-09-06,6,7,634.68,Yes
LOG-7014,ORD-6484,XpressBees,2025-02-20,5,7,90.57,Delayed
LOG-7015,ORD-7175,Ecom Express,2025-11-18,2,2,343.28,Yes
LOG-7016,ORD-5977,Delhivery Surface,2025-12-02,4,6,61.3,Delayed
LOG-7017,ORD-5075,Shadowfax B2B,2025-02-22,4,6,616.74,Delayed
LOG-7018,ORD-6822,BlueDart Express,2025-05-11,5,8,397.51,Delayed
LOG-7019,ORD-6006,Ecom Express,2025-03-05,6,7,552.41,Yes
LOG-7020,ORD-7343,Ecom Express,2025-01-22,6,6,404.53,Yes
LOG-7021,ORD-6161,Ecom Express,2025-07-26,2,1,378.42,Yes
LOG-7022,ORD-5783,XpressBees,2025-07-18,2,1,113.7,Yes
LOG-7023,ORD-6426,XpressBees,2025-12-14,2,1,583.01,Yes
LOG-7024,ORD-6796,BlueDart Express,2025-07-16,5,8,605.5,Delayed
LOG-7025,ORD-6105,XpressBees,2025-01-18,5,8,358.41,Delayed
LOG-7026,ORD-7447,Delhivery Surface,2025-09-28,4,5,529.13,Yes
LOG-7027,ORD-6630,Delhivery Surface,2025-02-26,4,7,619.19,Delayed
LOG-7028,ORD-5969,XpressBees,2025-10-27,5,7,337.24,Delayed
