campaign_id,campaign_name,spend_inr,impressions,clicks,conversions,roas
CMP-101,Campaign_1_WhatsApp Blast,55515.92,64485,1579,181,6.68
CMP-102,Campaign_2_WhatsApp Blast,122554.32,382929,16448,2509,65.14
CMP-103,Campaign_3_Google Search,117778.69,86854,2276,229,5.56
CMP-104,Campaign_4_Influencer Outreach,123124.22,69330,2442,426,6.37
CMP-105,Campaign_5_Meta Ads,51842.74,76865,1642,164,6.12
CMP-106,Campaign_6_Influencer Outreach,74786.84,227026,8186,1086,22.04
CMP-107,Campaign_7_Google Search,60561.86,298011,9655,1152,46.12
CMP-108,Campaign_8_Google Search,60770.95,314592,12590,1491,73.26
CMP-109,Campaign_9_Google Search,106948.53,133308,3687,281,8.29
CMP-110,Campaign_10_WhatsApp Blast,85964.3,80041,3780,218,5.08
CMP-111,Campaign_11_Google Search,47731.11,85570,3785,460,32.21
CMP-112,Campaign_12_Influencer Outreach,40162.12,444017,10150,1493,54.63
CMP-113,Campaign_13_Google Search,59731.81,23813,937,98,2.17
CMP-114,Campaign_14_Meta Ads,101098.36,48676,1542,196,3.03
CMP-115,Campaign_15_Google Search,57960.41,51415,1212,62,3.33
CMP-116,Campaign_16_Influencer Outreach,26709.0,105642,3321,226,20.42
CMP-117,Campaign_17_WhatsApp Blast,73176.75,388828,10423,1579,60.4
CMP-118,Campaign_18_WhatsApp Blast,21133.67,41457,1900,102,14.13
CMP-119,Campaign_19_B2B Trade Expo,28250.57,217822,9615,1330,151.35
CMP-120,Campaign_20_B2B Trade Expo,108153.98,145294,6853,789,20.66
CMP-121,Campaign_21_Influencer Outreach,140060.28,152515,7482,881,21.7
CMP-122,Campaign_22_Google Search,112754.54,219926,8063,632,9.09
CMP-123,Campaign_23_B2B Trade Expo,92737.09,50479,2199,243,5.03
CMP-124,Campaign_24_Influencer Outreach,124951.78,96415,1630,160,2.79
CMP-125,Campaign_25_WhatsApp Blast,20718.13,50794,1406,212,20.17
CMP-126,Campaign_26_Google Search,45920.01,293937,5504,426,11.37
CMP-127,Campaign_27_WhatsApp Blast,32222.85,115762,4322,234,13.21
CMP-128,Campaign_28_B2B Trade Expo,86895.54,305561,15133,1708,25.76
CMP-129,Campaign_29_Meta Ads,141808.83,14445,712,105,2.52
CMP-130,Campaign_30_B2B Trade Expo,33258.14,404181,11588,1115,50.22
CMP-131,Campaign_31_Meta Ads,53041.14,480030,19657,1240,71.47
CMP-132,Campaign_32_Google Search,8434.37,427369,12126,1530,573.16
CMP-133,Campaign_33_WhatsApp Blast,28377.34,367760,11477,1894,94.41
CMP-134,Campaign_34_Google Search,133238.3,433349,16836,1150,24.62
CMP-135,Campaign_35_B2B Trade Expo,79863.62,392059,14234,1680,62.43
CMP-136,Campaign_36_Influencer Outreach,118876.02,187744,4727,619,17.51
CMP-137,Campaign_37_Meta Ads,134148.59,415890,16178,1311,34.14
CMP-138,Campaign_38_B2B Trade Expo,15874.75,89902,3132,561,50.32
CMP-139,Campaign_39_Meta Ads,25680.27,466370,12048,1961,231.68
CMP-140,Campaign_40_Meta Ads,77342.28,248450,6454,1106,22.47
CMP-141,Campaign_41_WhatsApp Blast,88594.19,195266,3538,259,8.7
CMP-142,Campaign_42_WhatsApp Blast,147990.78,144231,6015,646,14.52
CMP-143,Campaign_43_Meta Ads,145893.69,265988,4358,704,10.24
CMP-144,Campaign_44_B2B Trade Expo,137985.32,77624,2362,275,5.25
CMP-145,Campaign_45_WhatsApp Blast,59184.05,367669,10832,1175,63.89
CMP-146,Campaign_46_Meta Ads,94988.99,347571,5907,902,26.68
CMP-147,Campaign_47_B2B Trade Expo,6151.73,457249,8543,844,344.54
CMP-148,Campaign_48_Meta Ads,37342.44,468311,14601,907,55.17
CMP-149,Campaign_49_B2B Trade Expo,135518.34,253716,4774,350,3.74
CMP-150,Campaign_50_Influencer Outreach,116391.41,114580,3328,194,3.31
