order_id,store_id,customer_id,product_id,quantity,unit_price_inr,total_amount_inr,order_date,status,payment_mode
ORD-5001,STR-2003,CUST-4852,PRD-3347,5,1987.78,9938.9,2026-02-08,Delivered,Credit Card
ORD-5002,STR-2027,CUST-4313,PRD-3234,8,1942.76,15542.08,2025-07-10,Cancelled,Escrow
ORD-5003,STR-2068,CUST-4819,PRD-3320,14,4410.18,61742.52,2025-02-03,Delivered,Escrow
ORD-5004,STR-2017,CUST-4814,PRD-3098,7,2732.89,19130.23,2025-12-22,Delivered,Credit Card
ORD-5005,STR-2077,CUST-4440,PRD-3326,8,4616.92,36935.36,2026-01-26,Processing,COD
ORD-5006,STR-2025,CUST-4875,PRD-3275,10,3979.5,39795.0,2025-06-17,Delivered,UPI
ORD-5007,STR-2081,CUST-4815,PRD-3144,5,4279.79,21398.95,2025-10-27,Shipped,Escrow
ORD-5008,STR-2094,CUST-4084,PRD-3402,16,3986.34,63781.44,2025-11-11,Delivered,Escrow
ORD-5009,STR-2066,CUST-4398,PRD-3385,21,3793.01,79653.21,2025-07-11,Shipped,COD
ORD-5010,STR-2060,CUST-4184,PRD-3165,23,1963.31,45156.13,2025-12-22,Shipped,Net Banking
ORD-5011,STR-2061,CUST-4275,PRD-3298,13,3244.81,42182.53,2026-02-09,Processing,UPI
ORD-5012,STR-2027,CUST-4225,PRD-3459,7,2342.59,16398.13,2025-05-01,Shipped,Escrow
ORD-5013,STR-2040,CUST-4436,PRD-3456,13,2921.15,37974.95,2026-03-08,Delivered,Credit Card
ORD-5014,STR-2071,CUST-4087,PRD-3069,25,557.54,13938.5,2025-08-16,Processing,Credit Card
ORD-5015,STR-2030,CUST-4598,PRD-3022,15,2634.47,39517.05,2025-06-22,Shipped,Net Banking
ORD-5016,STR-2060,CUST-4443,PRD-3210,12,4051.85,48622.2,2025-06-12,Delivered,Net Banking
ORD-5017,STR-2004,CUST-4184,PRD-3227,8,1438.28,11506.24,2025-02-08,Delivered,UPI
ORD-5018,STR-2038,CUST-4863,PRD-3257,17,2801.26,47621.42,2025-02-10,Returned,Credit Card
ORD-5019,STR-2030,CUST-4101,PRD-3061,3,1897.15,5691.45,2025-10-07,Delivered,Credit Card
ORD-5020,STR-2026,CUST-4692,PRD-3169,9,1618.17,14563.53,2026-02-22,Returned,Credit Card
ORD-5021,STR-2025,CUST-4723,PRD-3310,5,4992.26,24961.3,2026-01-21,Cancelled,COD
ORD-5022,STR-2034,CUST-4009,PRD-3395,10,1516.95,15169.5,2025-06-27,Returned,Net Banking
ORD-5023,STR-2052,CUST-4842,PRD-3297,25,3328.25,83206.25,2025-08-30,Cancelled,COD
ORD-5024,STR-2098,CUST-4975,PRD-3077,13,1253.76,16298.88,2026-01-06,Cancelled,Escrow
ORD-5025,STR-2061,CUST-4240,PRD-3265,19,3961.98,75277.62,2026-01-23,Shipped,Net Banking
ORD-5026,STR-2044,CUST-4811,PRD-3044,11,4252.14,46773.54,2025-08-08,Returned,Net Banking
ORD-5027,STR-2027,CUST-4450,PRD-3231,18,296.0,5328.0,2025-03-13,Processing,Escrow
ORD-5028,STR-2040,CUST-4966,PRD-3378,1,2574.03,2574.03,2025-12-04,Returned,Credit Card
ORD-5029,STR-2044,CUST-4231,PRD-3215,14,3475.95,48663.3,2025-07-26,Returned,COD
ORD-5030,STR-2039,CUST-4334,PRD-3301,1,2902.75,2902.75,2025-01-17,Delivered,Escrow
ORD-5031,STR-2043,CUST-4582,PRD-3323,20,4581.7,91634.0,2025-10-21,Returned,Net Banking
ORD-5032,STR-2049,CUST-4210,PRD-3486,13,458.99,5966.87,2025-07-17,Delivered,Net Banking
ORD-5033,STR-2014,CUST-4337,PRD-3292,15,3249.17,48737.55,2025-06-05,Delivered,Escrow
ORD-5034,STR-2014,CUST-4692,PRD-3284,6,305.49,1832.94,2025-12-19,Processing,Net Banking
ORD-5035,STR-2004,CUST-4192,PRD-3102,3,4570.02,13710.06,2025-07-17,Delivered,Escrow
ORD-5036,STR-2030,CUST-4299,PRD-3338,17,489.4,8319.8,2025-01-30,Delivered,COD
ORD-5037,STR-2002,CUST-4176,PRD-3168,14,2046.86,28656.04,2025-02-26,Delivered,COD
ORD-5038,STR-2054,CUST-4490,PRD-3381,3,2036.62,6109.86,2026-03-20,Delivered,Escrow
