pricing_id,product_id,old_price_inr,new_price_inr,effective_date,change_reason
PRH-201,PRD-3362,1379.65,1527.64,2025-08-04,Competitive Matching
PRH-202,PRD-3283,697.02,733.14,2025-10-13,Competitive Matching
PRH-203,PRD-3129,2869.3,3359.36,2025-11-18,Competitive Matching
PRH-204,PRD-3370,1319.4,1277.0,2025-04-30,Margin Optimization
PRH-205,PRD-3100,2202.62,2570.03,2025-05-10,Margin Optimization
PRH-206,PRD-3486,3962.45,4203.9,2025-01-12,Cost Adjustment
PRH-207,PRD-3132,1318.01,1365.29,2025-01-23,Seasonal Sale
PRH-208,PRD-3310,2902.32,3273.18,2025-04-26,Seasonal Sale
PRH-209,PRD-3352,2312.39,2687.65,2025-02-09,Competitive Matching
PRH-210,PRD-3340,3755.14,3220.99,2025-01-09,Margin Optimization
PRH-211,PRD-3457,2483.51,2971.98,2025-11-13,Cost Adjustment
PRH-212,PRD-3408,1307.65,1352.63,2025-09-12,Margin Optimization
PRH-213,PRD-3484,286.92,279.92,2025-09-21,Seasonal Sale
PRH-214,PRD-3467,3853.31,4529.44,2025-05-22,Competitive Matching
PRH-215,PRD-3037,881.52,912.14,2025-11-05,Competitive Matching
PRH-216,PRD-3178,1238.82,1090.7,2025-04-17,Seasonal Sale
PRH-217,PRD-3399,2085.46,2152.83,2025-06-05,Margin Optimization
PRH-218,PRD-3386,3643.47,3489.16,2025-06-29,Cost Adjustment
PRH-219,PRD-3235,3250.53,3113.94,2025-09-27,Seasonal Sale
PRH-220,PRD-3024,3318.96,3512.1,2025-12-11,Cost Adjustment
PRH-221,PRD-3333,2901.76,2522.87,2025-09-18,Margin Optimization
PRH-222,PRD-3229,1896.55,1833.07,2025-01-01,Cost Adjustment
PRH-223,PRD-3398,1419.23,1689.07,2025-06-13,Margin Optimization
PRH-224,PRD-3408,3649.62,3915.9,2025-07-16,Cost Adjustment
PRH-225,PRD-3334,1035.8,1191.71,2025-04-17,Seasonal Sale
PRH-226,PRD-3200,458.26,418.51,2025-05-10,Margin Optimization
PRH-227,PRD-3144,521.23,508.04,2025-02-17,Margin Optimization
PRH-228,PRD-3377,1050.8,1119.67,2025-08-12,Margin Optimization
PRH-229,PRD-3363,444.68,420.82,2025-03-22,Competitive Matching
PRH-230,PRD-3335,1119.89,1070.17,2025-06-25,Cost Adjustment
PRH-231,PRD-3228,2204.48,2410.35,2025-12-15,Competitive Matching
PRH-232,PRD-3382,2082.73,1918.27,2025-07-18,Cost Adjustment
PRH-233,PRD-3134,3507.54,3461.43,2025-02-10,Margin Optimization
PRH-234,PRD-3343,1168.68,1028.54,2025-07-13,Competitive Matching
PRH-235,PRD-3014,3612.99,3147.16,2025-10-29,Seasonal Sale
PRH-236,PRD-3168,1766.81,1817.63,2025-04-14,Competitive Matching
PRH-237,PRD-3475,2481.94,2909.55,2025-03-06,Margin Optimization
PRH-238,PRD-3267,1147.74,1299.83,2025-10-13,Margin Optimization
PRH-239,PRD-3245,2018.46,1947.75,2025-01-01,Seasonal Sale
PRH-240,PRD-3115,1331.11,1596.13,2025-03-04,Competitive Matching
PRH-241,PRD-3177,635.02,582.72,2025-05-20,Cost Adjustment
PRH-242,PRD-3400,685.32,737.83,2025-03-25,Margin Optimization
PRH-243,PRD-3420,1553.09,1762.08,2025-08-09,Competitive Matching
PRH-244,PRD-3093,2366.27,2767.54,2025-07-12,Margin Optimization
PRH-245,PRD-3186,1676.27,1691.35,2025-05-09,Competitive Matching
PRH-246,PRD-3346,3334.78,2850.76,2025-06-06,Seasonal Sale
PRH-247,PRD-3310,1905.98,2033.8,2025-06-18,Seasonal Sale
PRH-248,PRD-3205,2695.47,2883.97,2025-03-28,Seasonal Sale
PRH-249,PRD-3352,386.56,406.83,2025-08-13,Cost Adjustment
PRH-250,PRD-3170,1176.75,1107.31,2025-07-23,Competitive Matching
PRH-251,PRD-3259,3530.01,3863.26,2025-11-09,Cost Adjustment
PRH-252,PRD-3035,3790.49,4188.47,2025-08-28,Margin Optimization
PRH-253,PRD-3396,2826.69,3002.9,2025-08-17,Cost Adjustment
PRH-254,PRD-3140,3458.98,3559.31,2025-06-19,Seasonal Sale
PRH-255,PRD-3444,3508.27,3535.5,2025-06-30,Seasonal Sale
PRH-256,PRD-3139,2675.47,2881.51,2025-05-17,Seasonal Sale
PRH-257,PRD-3013,699.52,737.33,2025-12-06,Margin Optimization
PRH-258,PRD-3461,2923.86,3047.22,2025-06-09,Competitive Matching
PRH-259,PRD-3447,3419.55,3867.83,2025-02-01,Seasonal Sale
PRH-260,PRD-3316,3608.6,4039.06,2025-10-02,Cost Adjustment
PRH-261,PRD-3155,2855.74,2942.69,2025-07-17,Cost Adjustment
PRH-262,PRD-3277,2906.27,2877.79,2025-05-11,Seasonal Sale
PRH-263,PRD-3250,829.12,832.2,2025-08-27,Cost Adjustment
PRH-264,PRD-3058,1533.62,1598.73,2025-04-10,Margin Optimization
PRH-265,PRD-3401,3782.86,3328.07,2025-07-28,Cost Adjustment
PRH-266,PRD-3430,3556.3,3218.1,2025-09-08,Seasonal Sale
PRH-267,PRD-3194,3743.15,4288.38,2025-05-01,Margin Optimization
PRH-268,PRD-3102,439.61,376.75,2025-11-24,Seasonal Sale
PRH-269,PRD-3464,486.4,531.05,2025-03-02,Margin Optimization
PRH-270,PRD-3218,1778.49,1993.99,2025-03-03,Margin Optimization
PRH-271,PRD-3087,1380.72,1499.48,2025-07-23,Margin Optimization
PRH-272,PRD-3246,3543.59,3499.83,2025-02-08,Seasonal Sale
