review_id,product_id,customer_id,rating_stars,review_date,is_verified_purchase
REV-401,PRD-3100,CUST-4091,5,2025-06-28,True
REV-402,PRD-3343,CUST-4267,4,2025-10-03,False
REV-403,PRD-3069,CUST-4880,5,2025-08-16,True
REV-404,PRD-3229,CUST-4618,4,2025-02-19,True
REV-405,PRD-3441,CUST-4667,4,2025-05-09,True
REV-406,PRD-3415,CUST-4802,5,2025-10-17,False
REV-407,PRD-3338,CUST-4277,3,2025-10-22,False
REV-408,PRD-3091,CUST-4649,4,2025-04-14,True
REV-409,PRD-3004,CUST-4990,4,2025-09-10,False
REV-410,PRD-3482,CUST-4681,5,2025-07-01,False
REV-411,PRD-3438,CUST-4946,4,2025-07-31,True
REV-412,PRD-3003,CUST-4663,1,2025-01-31,True
REV-413,PRD-3346,CUST-4113,4,2025-06-28,True
REV-414,PRD-3331,CUST-4930,5,2025-01-16,True
REV-415,PRD-3046,CUST-4669,2,2025-08-20,True
REV-416,PRD-3010,CUST-4489,3,2025-10-24,True
REV-417,PRD-3141,CUST-4285,3,2025-08-01,False
REV-418,PRD-3488,CUST-4934,5,2025-07-28,False
REV-419,PRD-3373,CUST-4471,2,2025-01-05,True
REV-420,PRD-3369,CUST-4341,5,2025-05-19,True
REV-421,PRD-3140,CUST-4002,5,2025-01-01,True
REV-422,PRD-3201,CUST-4670,3,2025-06-25,False
REV-423,PRD-3194,CUST-4712,4,2025-08-25,True
REV-424,PRD-3215,CUST-4865,2,2025-07-05,False
REV-425,PRD-3452,CUST-4198,4,2025-09-02,False
REV-426,PRD-3499,CUST-4309,5,2025-01-31,True
REV-427,PRD-3002,CUST-4444,3,2025-01-11,True
REV-428,PRD-3124,CUST-4250,5,2025-06-02,False
REV-429,PRD-3390,CUST-4720,4,2025-03-02,True
REV-430,PRD-3360,CUST-4497,5,2025-08-03,True
REV-431,PRD-3429,CUST-4385,3,2025-04-23,False
REV-432,PRD-3113,CUST-4857,5,2025-06-14,True
