product_id,product_name,vendor_id,category,cogs_inr,msrp_inr,reorder_level,safety_stock
PRD-3001,Product SKU-001,VND-1043,FMCG,3559.46,6252.49,45,14
PRD-3002,Product SKU-002,VND-1017,Industrial Hardware,3603.39,4840.93,13,13
PRD-3003,Product SKU-003,VND-1002,Footwear,3565.43,5177.87,51,6
PRD-3004,Product SKU-004,VND-1023,Industrial Hardware,283.18,532.51,77,12
PRD-3005,Product SKU-005,VND-1096,Apparel,2169.29,4146.2,75,42
PRD-3006,Product SKU-006,VND-1014,Stationery,2292.08,4707.02,15,47
PRD-3007,Product SKU-007,VND-1067,Industrial Hardware,2088.29,4321.55,17,35
PRD-3008,Product SKU-008,VND-1052,Beauty & Personal Care,3103.13,5172.08,66,9
PRD-3009,Product SKU-009,VND-1011,Footwear,2756.92,3600.07,45,44
PRD-3010,Product SKU-010,VND-1082,Footwear,1745.02,3067.37,47,34
PRD-3011,Product SKU-011,VND-1065,Beauty & Personal Care,491.34,907.27,93,46
PRD-3012,Product SKU-012,VND-1099,Home & Kitchen,1963.81,3937.2,62,26
PRD-3013,Product SKU-013,VND-1059,Beauty & Personal Care,1901.15,2530.09,64,25
PRD-3014,Product SKU-014,VND-1086,Industrial Hardware,1715.64,2367.14,70,9
PRD-3015,Product SKU-015,VND-1012,Apparel,464.87,619.24,57,13
PRD-3016,Product SKU-016,VND-1072,Electronics,2659.77,4594.35,52,47
PRD-3017,Product SKU-017,VND-1016,Beauty & Personal Care,1623.51,2947.55,64,8
PRD-3018,Product SKU-018,VND-1037,Industrial Hardware,1614.83,2811.79,37,14
PRD-3019,Product SKU-019,VND-1085,Stationery,1047.89,1406.25,81,28
PRD-3020,Product SKU-020,VND-1015,Industrial Hardware,2604.75,5043.16,81,44
PRD-3021,Product SKU-021,VND-1079,Electronics,2760.03,4993.33,98,22
PRD-3022,Product SKU-022,VND-1004,FMCG,1266.05,2403.02,53,27
PRD-3023,Product SKU-023,VND-1001,FMCG,3920.89,6788.52,61,9
PRD-3024,Product SKU-024,VND-1019,Electronics,458.32,779.56,58,31
PRD-3025,Product SKU-025,VND-1059,Footwear,750.47,1136.88,51,41
PRD-3026,Product SKU-026,VND-1077,Apparel,3980.87,5502.53,89,8
PRD-3027,Product SKU-027,VND-1087,Apparel,1260.86,2285.5,72,43
PRD-3028,Product SKU-028,VND-1057,Beauty & Personal Care,1265.59,2394.12,24,27
PRD-3029,Product SKU-029,VND-1056,Apparel,1310.45,2393.82,72,38
PRD-3030,Product SKU-030,VND-1086,Industrial Hardware,252.11,399.84,86,8
PRD-3031,Product SKU-031,VND-1001,Home & Kitchen,1391.32,1988.96,27,21
PRD-3032,Product SKU-032,VND-1038,Footwear,583.93,976.78,65,16
PRD-3033,Product SKU-033,VND-1017,Beauty & Personal Care,2419.99,3498.32,81,47
