return_id,order_id,product_id,return_reason,quantity,refund_amount_inr,status,return_date
RET-8001,ORD-5066,PRD-3148,Incorrect Size/Color,2,891.8,Rejected,2025-08-06
RET-8002,ORD-5386,PRD-3009,Defective Item,1,1617.22,Rejected,2025-09-05
RET-8003,ORD-5279,PRD-3044,Buyer Cancelled,1,895.34,Approved,2025-08-31
RET-8004,ORD-5266,PRD-3076,Damaged Packaging,4,2366.38,Under Inspection,2025-06-27
RET-8005,ORD-5161,PRD-3134,Delayed Delivery,5,8534.93,Refunded,2025-06-26
RET-8006,ORD-5051,PRD-3170,Defective Item,2,605.71,Refunded,2025-03-18
RET-8007,ORD-5111,PRD-3035,Damaged Packaging,5,4024.56,Rejected,2025-03-13
RET-8008,ORD-5066,PRD-3187,Damaged Packaging,4,1632.83,Rejected,2025-03-08
RET-8009,ORD-5196,PRD-3167,Incorrect Size/Color,4,5907.96,Rejected,2025-06-23
RET-8010,ORD-5218,PRD-3178,Incorrect Size/Color,5,3852.68,Rejected,2025-06-12
RET-8011,ORD-5357,PRD-3166,Incorrect Size/Color,3,5334.59,Refunded,2025-04-18
RET-8012,ORD-5079,PRD-3081,Buyer Cancelled,4,1090.19,Refunded,2025-01-20
RET-8013,ORD-5139,PRD-3032,Damaged Packaging,1,2115.14,Under Inspection,2025-01-17
RET-8014,ORD-5169,PRD-3164,Defective Item,3,8237.66,Rejected,2025-02-07
RET-8015,ORD-5116,PRD-3071,Defective Item,1,1256.04,Refunded,2025-04-07
RET-8016,ORD-5054,PRD-3032,Incorrect Size/Color,5,11196.58,Rejected,2025-05-31
RET-8017,ORD-5251,PRD-3025,Damaged Packaging,3,6483.83,Rejected,2025-05-22
RET-8018,ORD-5139,PRD-3156,Defective Item,1,678.09,Under Inspection,2025-02-16
RET-8019,ORD-5177,PRD-3190,Damaged Packaging,5,9324.64,Under Inspection,2025-05-03
RET-8020,ORD-5304,PRD-3033,Delayed Delivery,1,2122.64,Refunded,2025-06-18
