store_id,store_name,owner_name,city,tier,monthly_revenue_inr,health_score,estimated_valuation_inr,created_at
STR-2001,Vyapaar Store 1,Merchant_1,Chennai,Bronze,842247,94,2579988.49,2025-06-09
STR-2002,Vyapaar Store 2,Merchant_2,Pune,Gold,1802640,66,2961215.99,2025-04-20
STR-2003,Vyapaar Store 3,Merchant_3,Bengaluru,Bronze,912226,68,1771785.3,2025-03-25
STR-2004,Vyapaar Store 4,Merchant_4,Ahmedabad,Bronze,1520890,86,4249504.31,2025-04-08
STR-2005,Vyapaar Store 5,Merchant_5,Surat,Bronze,1208103,70,2778058.97,2025-07-11
STR-2006,Vyapaar Store 6,Merchant_6,Pune,Gold,1617840,79,4214869.5,2025-07-19
STR-2007,Vyapaar Store 7,Merchant_7,Mumbai,Gold,1187181,77,3474509.62,2025-06-09
STR-2008,Vyapaar Store 8,Merchant_8,Bengaluru,Platinum,679409,95,1792335.32,2025-05-25
STR-2009,Vyapaar Store 9,Merchant_9,Ahmedabad,Bronze,1224763,88,2186497.79,2025-06-05
STR-2010,Vyapaar Store 10,Merchant_10,Delhi,Platinum,1454591,71,3612860.83,2025-03-21
STR-2011,Vyapaar Store 11,Merchant_11,Jaipur,Bronze,1813689,77,2954851.26,2025-06-26
STR-2012,Vyapaar Store 12,Merchant_12,Ahmedabad,Gold,1414929,72,4037621.96,2025-05-25
STR-2013,Vyapaar Store 13,Merchant_13,Mumbai,Silver,2384495,92,6258312.86,2025-01-18
STR-2014,Vyapaar Store 14,Merchant_14,Pune,Silver,203066,91,588477.67,2025-01-28
STR-2015,Vyapaar Store 15,Merchant_15,Hyderabad,Silver,2078286,74,4656042.62,2025-07-07
STR-2016,Vyapaar Store 16,Merchant_16,Pune,Silver,2407260,95,5513312.46,2025-07-07
STR-2017,Vyapaar Store 17,Merchant_17,Jaipur,Silver,1501843,80,4373731.36,2025-01-23
STR-2018,Vyapaar Store 18,Merchant_18,Surat,Bronze,1172837,94,2895434.77,2025-06-21
STR-2019,Vyapaar Store 19,Merchant_19,Hyderabad,Silver,270376,96,796695.28,2025-02-16
STR-2020,Vyapaar Store 20,Merchant_20,Kolkata,Platinum,1638243,81,3405212.64,2025-06-02
STR-2021,Vyapaar Store 21,Merchant_21,Surat,Gold,2316891,77,3812541.53,2025-07-04
STR-2022,Vyapaar Store 22,Merchant_22,Hyderabad,Bronze,2478577,80,6627803.82,2025-06-15
STR-2023,Vyapaar Store 23,Merchant_23,Kolkata,Bronze,222323,70,444690.57,2025-04-14
STR-2024,Vyapaar Store 24,Merchant_24,Ahmedabad,Silver,1697783,95,4144125.36,2025-03-30
STR-2025,Vyapaar Store 25,Merchant_25,Hyderabad,Silver,1625600,94,3187082.96,2025-03-06
STR-2026,Vyapaar Store 26,Merchant_26,Ahmedabad,Gold,957757,85,1631292.96,2025-05-18
STR-2027,Vyapaar Store 27,Merchant_27,Bengaluru,Platinum,1057582,95,2083488.75,2025-05-31
STR-2028,Vyapaar Store 28,Merchant_28,Pune,Silver,571637,77,1145342.75,2025-04-03
STR-2029,Vyapaar Store 29,Merchant_29,Bengaluru,Silver,209342,73,411635.3,2025-01-14
STR-2030,Vyapaar Store 30,Merchant_30,Pune,Silver,679654,96,1138011.98,2025-01-04
STR-2031,Vyapaar Store 31,Merchant_31,Jaipur,Silver,2118793,95,4764735.25,2025-02-17
STR-2032,Vyapaar Store 32,Merchant_32,Mumbai,Silver,2153741,72,6240672.59,2025-04-13
STR-2033,Vyapaar Store 33,Merchant_33,Kolkata,Gold,374852,74,657353.92,2025-05-25
STR-2034,Vyapaar Store 34,Merchant_34,Surat,Gold,1190988,72,2916401.09,2025-04-17
STR-2035,Vyapaar Store 35,Merchant_35,Jaipur,Platinum,2341828,89,5306288.56,2025-04-24
STR-2036,Vyapaar Store 36,Merchant_36,Surat,Bronze,1430857,68,3629186.42,2025-07-09
STR-2037,Vyapaar Store 37,Merchant_37,Delhi,Platinum,1035103,81,2714793.45,2025-02-10
STR-2038,Vyapaar Store 38,Merchant_38,Ahmedabad,Platinum,2465223,69,4353843.77,2025-04-15
STR-2039,Vyapaar Store 39,Merchant_39,Kolkata,Bronze,1371630,67,2597194.57,2025-06-30
STR-2040,Vyapaar Store 40,Merchant_40,Surat,Bronze,448549,79,1377336.44,2025-06-10
STR-2041,Vyapaar Store 41,Merchant_41,Jaipur,Platinum,1933162,72,4689379.41,2025-06-15
STR-2042,Vyapaar Store 42,Merchant_42,Bengaluru,Silver,746582,69,1195564.97,2025-03-20
STR-2043,Vyapaar Store 43,Merchant_43,Jaipur,Silver,1991943,72,4575067.89,2025-03-19
STR-2044,Vyapaar Store 44,Merchant_44,Hyderabad,Silver,2249132,96,5047479.7,2025-06-03
STR-2045,Vyapaar Store 45,Merchant_45,Mumbai,Bronze,1501914,81,2318910.63,2025-02-28
STR-2046,Vyapaar Store 46,Merchant_46,Jaipur,Gold,1280411,67,3581674.88,2025-02-14
STR-2047,Vyapaar Store 47,Merchant_47,Kolkata,Bronze,1316673,76,4206516.52,2025-04-22
STR-2048,Vyapaar Store 48,Merchant_48,Kolkata,Gold,2121366,87,4654683.79,2025-03-24
STR-2049,Vyapaar Store 49,Merchant_49,Delhi,Platinum,1533296,91,4108076.02,2025-03-15
