rating_id,vendor_id,store_id,quality_score,delivery_score,fulfillment_rate_pct,review_date
VR-9001,VND-1009,STR-2002,4.1,3.6,87.3,2025-08-15
VR-9002,VND-1039,STR-2034,4.6,3.7,94.2,2025-01-15
VR-9003,VND-1048,STR-2008,3.6,4.7,82.8,2025-04-27
VR-9004,VND-1020,STR-2009,3.6,5.0,88.5,2025-02-27
VR-9005,VND-1005,STR-2002,4.6,4.5,80.9,2025-02-25
VR-9006,VND-1003,STR-2043,4.1,3.1,82.4,2025-05-10
VR-9007,VND-1003,STR-2005,3.7,3.0,81.9,2025-03-05
VR-9008,VND-1039,STR-2014,4.3,3.4,93.4,2025-01-15
VR-9009,VND-1006,STR-2010,4.7,4.9,99.0,2025-06-28
VR-9010,VND-1023,STR-2011,4.7,4.6,92.3,2025-09-16
VR-9011,VND-1037,STR-2005,3.4,4.2,80.3,2025-04-22
VR-9012,VND-1046,STR-2013,4.9,3.3,95.1,2025-01-03
VR-9013,VND-1047,STR-2007,4.9,4.8,97.0,2025-09-01
VR-9014,VND-1024,STR-2045,4.3,3.9,99.2,2025-04-03
VR-9015,VND-1023,STR-2025,4.0,4.0,88.2,2025-06-10
VR-9016,VND-1008,STR-2030,3.4,3.3,95.2,2025-05-28
VR-9017,VND-1036,STR-2047,3.3,3.7,82.3,2025-05-26
VR-9018,VND-1030,STR-2039,4.5,4.4,96.8,2025-04-26
VR-9019,VND-1036,STR-2027,3.7,4.7,83.8,2025-02-05
VR-9020,VND-1031,STR-2044,3.9,3.0,93.5,2025-02-23
VR-9021,VND-1026,STR-2029,4.1,4.4,82.4,2025-07-22
VR-9022,VND-1026,STR-2045,4.3,3.2,98.5,2025-03-28
VR-9023,VND-1005,STR-2024,5.0,3.7,91.9,2025-07-26
VR-9024,VND-1008,STR-2015,4.7,4.5,85.6,2025-10-25
VR-9025,VND-1038,STR-2018,4.6,4.6,98.9,2025-07-02
VR-9026,VND-1031,STR-2043,4.3,3.8,89.7,2025-05-23
VR-9027,VND-1010,STR-2050,4.0,3.2,89.8,2025-04-29
VR-9028,VND-1041,STR-2009,3.3,4.5,96.6,2025-09-13
VR-9029,VND-1044,STR-2002,4.9,3.8,93.6,2025-03-20
VR-9030,VND-1020,STR-2040,4.3,4.5,93.2,2025-09-24
VR-9031,VND-1050,STR-2032,4.6,3.4,93.2,2025-09-09
VR-9032,VND-1033,STR-2017,4.2,4.6,90.8,2025-01-10
VR-9033,VND-1049,STR-2003,5.0,4.8,82.4,2025-08-19
VR-9034,VND-1021,STR-2025,4.0,3.1,83.5,2025-06-05
VR-9035,VND-1046,STR-2011,4.1,3.3,94.3,2025-09-07
VR-9036,VND-1049,STR-2008,4.2,4.0,91.1,2025-10-04
VR-9037,VND-1037,STR-2031,4.1,4.7,90.1,2025-07-20
VR-9038,VND-1017,STR-2032,4.3,3.8,93.5,2025-05-26
VR-9039,VND-1021,STR-2004,3.3,3.1,96.7,2025-06-28
VR-9040,VND-1048,STR-2038,3.2,4.8,86.8,2025-02-19
VR-9041,VND-1028,STR-2023,5.0,3.8,81.1,2025-05-06
VR-9042,VND-1016,STR-2016,4.4,4.2,98.2,2025-02-03
VR-9043,VND-1020,STR-2008,3.8,3.0,86.5,2025-08-24
VR-9044,VND-1043,STR-2028,4.2,4.8,85.3,2025-08-29
VR-9045,VND-1038,STR-2002,5.0,3.8,87.8,2025-10-21
VR-9046,VND-1007,STR-2032,3.4,4.4,86.7,2025-09-15
VR-9047,VND-1049,STR-2043,3.8,4.2,87.3,2025-08-12
VR-9048,VND-1013,STR-2032,4.3,4.9,81.5,2025-10-02
VR-9049,VND-1014,STR-2019,3.7,3.6,91.5,2025-04-26
VR-9050,VND-1040,STR-2048,4.9,4.4,91.6,2025-06-22
VR-9051,VND-1018,STR-2005,4.2,4.1,88.5,2025-06-27
VR-9052,VND-1005,STR-2042,4.7,4.0,86.0,2025-10-04
VR-9053,VND-1021,STR-2013,3.9,3.5,90.3,2025-10-08
VR-9054,VND-1012,STR-2002,4.3,4.0,83.7,2025-09-13
VR-9055,VND-1014,STR-2043,4.9,4.5,89.3,2025-09-30
VR-9056,VND-1040,STR-2050,4.8,4.9,94.5,2025-01-31
VR-9057,VND-1034,STR-2013,3.9,3.3,83.0,2025-06-03
VR-9058,VND-1028,STR-2027,3.8,4.7,81.3,2025-04-15
VR-9059,VND-1027,STR-2018,4.7,4.3,85.1,2025-05-01
VR-9060,VND-1026,STR-2016,3.4,3.4,84.9,2025-06-08
VR-9061,VND-1030,STR-2032,4.2,3.9,92.9,2025-01-19
VR-9062,VND-1013,STR-2011,3.7,3.1,95.8,2025-05-23
VR-9063,VND-1043,STR-2036,3.5,4.7,99.3,2025-09-06
VR-9064,VND-1002,STR-2004,4.7,3.2,92.0,2025-02-02
VR-9065,VND-1027,STR-2024,4.4,4.8,87.9,2025-03-13
VR-9066,VND-1016,STR-2008,4.2,4.0,82.4,2025-10-25
VR-9067,VND-1050,STR-2034,3.7,4.8,84.8,2025-03-04
VR-9068,VND-1050,STR-2021,3.8,4.2,87.8,2025-05-01
VR-9069,VND-1028,STR-2014,3.5,3.4,99.4,2025-08-14
VR-9070,VND-1027,STR-2017,4.8,3.1,90.7,2025-02-27
VR-9071,VND-1021,STR-2035,4.0,4.4,99.3,2025-03-16
VR-9072,VND-1024,STR-2031,4.5,4.6,80.4,2025-01-18
VR-9073,VND-1048,STR-2043,4.6,3.1,98.3,2025-05-03
VR-9074,VND-1017,STR-2036,3.9,4.3,94.0,2025-03-04
VR-9075,VND-1035,STR-2016,4.7,3.8,98.2,2025-07-21
VR-9076,VND-1017,STR-2020,3.4,4.6,84.7,2025-04-18
VR-9077,VND-1011,STR-2029,4.3,4.8,95.3,2025-07-28
VR-9078,VND-1003,STR-2018,4.8,4.6,98.8,2025-08-30
VR-9079,VND-1048,STR-2027,4.9,3.7,88.4,2025-02-21
VR-9080,VND-1011,STR-2045,3.7,3.1,88.4,2025-10-08
VR-9081,VND-1048,STR-2021,4.0,3.1,81.0,2025-04-05
VR-9082,VND-1041,STR-2029,4.6,3.3,88.0,2025-06-06
VR-9083,VND-1021,STR-2037,3.3,3.3,90.3,2025-03-08
VR-9084,VND-1039,STR-2044,3.9,4.9,89.0,2025-03-10
VR-9085,VND-1017,STR-2012,4.4,4.7,96.0,2025-04-12
VR-9086,VND-1006,STR-2027,3.9,3.8,87.5,2025-10-20
VR-9087,VND-1015,STR-2002,4.9,4.8,92.9,2025-04-28
VR-9088,VND-1006,STR-2030,3.6,4.4,83.4,2025-07-25
VR-9089,VND-1040,STR-2028,4.3,3.3,99.2,2025-03-29
VR-9090,VND-1037,STR-2008,3.2,4.1,95.5,2025-08-21
VR-9091,VND-1044,STR-2032,3.4,4.4,83.8,2025-05-17
VR-9092,VND-1019,STR-2048,4.1,3.3,97.1,2025-04-21
VR-9093,VND-1019,STR-2047,4.4,3.8,88.2,2025-03-16
VR-9094,VND-1002,STR-2019,5.0,3.5,89.0,2025-05-08
VR-9095,VND-1024,STR-2038,4.4,3.9,80.2,2025-03-10
VR-9096,VND-1021,STR-2045,3.9,3.4,87.7,2025-08-05
VR-9097,VND-1048,STR-2039,3.7,3.2,81.2,2025-06-20
VR-9098,VND-1016,STR-2031,4.8,5.0,98.8,2025-01-24
VR-9099,VND-1001,STR-2017,4.1,3.8,99.6,2025-07-09
VR-9100,VND-1009,STR-2036,3.3,3.4,83.4,2025-09-10
VR-9101,VND-1022,STR-2030,3.4,3.6,90.6,2025-03-14
VR-9102,VND-1017,STR-2008,3.8,5.0,90.0,2025-05-24
VR-9103,VND-1048,STR-2024,4.9,3.6,97.5,2025-05-16
VR-9104,VND-1034,STR-2021,4.0,3.3,94.7,2025-09-09
VR-9105,VND-1049,STR-2010,4.2,4.8,92.7,2025-08-14
VR-9106,VND-1004,STR-2013,3.5,3.5,80.7,2025-05-14
VR-9107,VND-1011,STR-2046,4.0,3.2,97.9,2025-09-11
VR-9108,VND-1003,STR-2029,3.8,4.4,89.7,2025-09-10
VR-9109,VND-1008,STR-2047,4.8,3.2,81.9,2025-05-26
VR-9110,VND-1012,STR-2011,4.5,4.6,91.3,2025-10-27
VR-9111,VND-1014,STR-2038,5.0,3.0,95.3,2025-04-03
VR-9112,VND-1027,STR-2005,3.6,4.0,81.9,2025-06-18
VR-9113,VND-1002,STR-2019,4.4,4.4,87.9,2025-02-24
VR-9114,VND-1021,STR-2010,3.3,3.9,94.2,2025-09-03
VR-9115,VND-1030,STR-2041,4.9,4.2,80.1,2025-01-23
VR-9116,VND-1042,STR-2040,4.9,3.6,94.6,2025-10-19
VR-9117,VND-1009,STR-2014,4.8,4.6,85.7,2025-01-29
VR-9118,VND-1048,STR-2005,4.2,4.2,81.9,2025-05-11
VR-9119,VND-1012,STR-2016,4.9,4.7,81.8,2025-04-17
VR-9120,VND-1011,STR-2025,4.6,3.6,95.1,2025-03-20
VR-9121,VND-1008,STR-2020,4.1,3.9,96.1,2025-06-08
VR-9122,VND-1044,STR-2039,3.4,4.3,96.6,2025-09-20
VR-9123,VND-1013,STR-2032,4.0,3.8,85.4,2025-08-05
VR-9124,VND-1006,STR-2049,4.0,3.7,83.7,2025-08-07
VR-9125,VND-1006,STR-2003,4.1,4.9,93.5,2025-03-21
VR-9126,VND-1032,STR-2034,4.3,4.0,85.8,2025-08-12
VR-9127,VND-1006,STR-2031,3.7,5.0,93.7,2025-06-03
VR-9128,VND-1016,STR-2034,4.0,4.1,91.0,2025-01-24
VR-9129,VND-1033,STR-2007,4.1,3.8,89.3,2025-10-19
VR-9130,VND-1017,STR-2023,3.7,3.2,90.1,2025-02-28
VR-9131,VND-1048,STR-2043,4.0,4.6,96.9,2025-01-24
VR-9132,VND-1006,STR-2027,4.8,3.6,91.7,2025-08-21
VR-9133,VND-1049,STR-2043,4.0,4.6,86.8,2025-04-06
VR-9134,VND-1014,STR-2012,3.3,5.0,85.2,2025-02-24
VR-9135,VND-1028,STR-2035,3.2,3.8,80.3,2025-09-02
VR-9136,VND-1030,STR-2045,3.9,4.3,94.9,2025-09-07
VR-9137,VND-1020,STR-2040,4.7,4.2,93.8,2025-07-22
VR-9138,VND-1020,STR-2006,3.4,3.0,82.2,2025-01-09
